timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644802513.592,-97.656,-35.156,-41.992,-52.734,0.000,0
1644802513.596,-80.078,-29.297,-35.156,-39.062,0.000,0
1644802513.600,-65.918,-28.320,-33.691,-37.109,0.000,0
1644802513.603,-71.289,-28.320,-38.086,-39.551,0.000,0
1644802513.607,-90.820,-33.691,-39.551,-38.574,0.000,0
1644802513.611,-76.172,-39.062,-35.156,-35.645,0.000,0
1644802513.615,-68.848,-34.668,-40.039,-36.621,0.000,0
1644802513.619,-75.684,-27.832,-44.434,-38.086,0.000,0
1644802513.623,-70.801,-29.297,-42.480,-28.320,0.000,0
1644802513.626,-78.125,-33.203,-41.504,-20.996,0.000,0
1644802513.630,-87.891,-29.297,-40.039,-39.551,0.000,0
1644802513.634,-73.730,-29.785,-34.668,-43.945,0.000,0
1644802513.639,-59.570,-29.297,-30.762,-32.715,0.000,0
1644802513.643,-49.316,-23.438,-32.715,-41.992,0.000,0
1644802513.647,-56.641,-29.297,-36.621,-43.457,0.000,0
1644802513.651,-82.520,-36.133,-39.551,-42.969,0.000,0
1644802513.655,-75.684,-29.785,-34.668,-44.922,0.000,0
1644802513.659,-52.734,-21.484,-34.668,-28.809,0.000,0
1644802513.663,-63.965,-24.414,-42.480,-23.926,0.000,0
1644802513.666,-73.730,-33.691,-44.922,-35.645,0.000,0
1644802513.670,-75.684,-34.668,-40.039,-43.945,0.000,0
1644802513.674,-73.242,-29.297,-42.969,-51.270,0.000,0
1644802513.678,-57.617,-23.926,-46.387,-47.363,0.000,0
1644802513.682,-63.965,-24.414,-46.875,-37.598,0.000,0
1644802513.691,-80.078,-32.715,-51.758,-31.738,0.000,0
1644802513.695,-89.844,-40.527,-44.434,-38.574,0.000,0
1644802513.699,-73.730,-39.551,-35.645,-48.828,0.000,0
1644802513.703,-54.688,-29.785,-35.156,-33.203,0.000,0
1644802513.707,-56.152,-24.414,-37.598,-20.020,0.000,0
1644802513.711,-68.359,-28.809,-44.922,-30.273,0.000,0
1644802513.715,-80.566,-39.062,-47.852,-32.227,0.000,0
1644802513.719,-68.359,-38.574,-43.945,-32.715,0.000,0
1644802513.723,-56.641,-21.973,-39.551,-39.062,0.000,0
1644802513.727,-56.641,-20.020,-39.062,-41.016,0.000,0
1644802513.731,-78.613,-34.668,-46.875,-43.945,0.000,0
1644802513.735,-92.773,-37.598,-49.316,-33.203,0.000,0
1644802513.757,-74.219,-33.691,-46.387,-34.180,0.000,0
1644802513.761,-60.547,-30.273,-43.945,-38.574,0.000,0
1644802513.766,-61.523,-25.879,-47.363,-32.227,0.000,0
1644802513.770,-69.824,-29.785,-51.758,-31.250,0.000,0
1644802513.775,-86.426,-35.156,-46.387,-35.645,0.000,0
1644802513.779,-84.473,-34.668,-40.527,-39.551,0.000,0
1644802513.783,-62.012,-32.715,-41.504,-45.898,0.000,0
1644802513.788,-50.781,-27.832,-43.457,-41.016,0.000,0
1644802513.792,-71.289,-27.832,-46.387,-36.133,0.000,0
1644802513.797,-87.402,-28.809,-44.434,-33.691,0.000,0
1644802513.801,-91.797,-29.297,-41.992,-36.133,0.000,0
1644802513.805,-81.543,-30.762,-38.574,-49.316,0.000,0
1644802513.829,-64.453,-24.414,-37.598,-41.504,0.000,0
1644802513.834,-64.941,-29.785,-42.969,-22.949,0.000,0
1644802513.838,-81.543,-43.457,-46.875,-32.227,0.000,0
1644802513.843,-89.844,-40.039,-41.016,-53.223,0.000,0
1644802513.848,-67.871,-28.809,-35.645,-41.504,0.000,0
1644802513.852,-55.664,-24.414,-35.645,-24.902,0.000,0
1644802513.857,-66.406,-20.996,-35.645,-27.344,0.000,0
1644802513.862,-74.707,-32.227,-36.621,-31.738,0.000,0
1644802513.867,-77.148,-43.945,-37.109,-36.621,0.000,0
1644802513.871,-72.266,-34.180,-41.504,-41.504,0.000,0
1644802513.876,-69.824,-26.367,-45.898,-39.062,0.000,0
1644802513.881,-74.707,-24.414,-46.875,-49.805,0.000,0
1644802513.916,-75.684,-27.344,-48.828,-58.105,0.000,0
1644802513.921,-74.219,-30.762,-45.898,-54.688,0.000,0
1644802513.926,-61.035,-25.879,-42.480,-57.129,0.000,0
1644802513.932,-49.805,-17.578,-42.480,-50.781,0.000,0
1644802513.937,-48.828,-15.625,-39.062,-35.156,0.000,0
1644802513.942,-59.570,-21.484,-40.039,-22.949,0.000,0
1644802513.947,-76.660,-28.320,-43.945,-27.344,0.000,0
1644802513.952,-76.660,-29.297,-43.457,-33.203,0.000,0
1644802513.957,-63.477,-22.461,-40.039,-18.555,0.000,0
1644802513.962,-54.199,-28.320,-38.574,-13.672,0.000,0
1644802513.968,-62.988,-31.738,-38.086,-35.645,0.000,0
1644802513.973,-72.266,-25.391,-36.621,-34.668,0.000,0
1644802513.997,-69.824,-26.855,-37.109,-33.203,0.000,0
1644802514.002,-55.664,-27.832,-36.133,-29.785,0.000,0
1644802514.008,-60.547,-25.391,-36.621,-17.090,0.000,0
1644802514.013,-71.289,-25.391,-40.527,-20.996,0.000,0
1644802514.019,-75.195,-26.367,-42.969,-26.367,0.000,0
1644802514.024,-65.430,-29.297,-41.992,-23.926,0.000,0
1644802514.029,-48.340,-31.738,-40.039,-22.949,0.000,0
1644802514.035,-57.617,-30.273,-34.668,-25.391,0.000,0
1644802514.040,-64.941,-29.297,-34.180,-11.719,0.000,0
1644802514.045,-72.266,-32.227,-43.457,-14.160,0.000,0
1644802514.051,-80.566,-30.762,-39.062,-36.621,0.000,0
