timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1639023044.978,-65.918,-31.250,-15.625,-187.500,0.000,0
1639023044.982,-40.527,-17.578,-7.812,31.250,0.000,0
1639023044.986,-34.668,-15.625,-15.625,150.391,0.000,0
1639023044.990,-63.477,-21.484,-25.879,6.836,0.000,0
1639023044.994,-87.402,-25.879,-29.785,-207.520,0.000,0
1639023044.997,-61.523,-25.391,-29.785,-186.035,0.000,0
1639023045.001,-30.762,-20.020,-20.508,30.273,0.000,0
1639023045.005,-35.645,-11.719,-14.648,165.527,0.000,0
1639023045.009,-75.684,-10.254,-20.020,49.805,0.000,0
1639023045.013,-90.820,-11.719,-22.949,-185.059,0.000,0
1639023045.017,-57.129,-10.742,-19.531,-222.168,0.000,0
1639023045.020,-2.441,-20.508,-20.020,11.719,0.000,0
1639023045.025,-22.949,-22.949,-18.066,180.664,0.000,0
1639023045.029,-77.637,-10.742,-14.648,63.477,0.000,0
1639023045.033,-91.797,-18.066,-26.367,-155.762,0.000,0
1639023045.037,-71.777,-21.484,-29.297,-225.586,0.000,0
1639023045.041,-27.832,-11.230,-16.113,-48.340,0.000,0
1639023045.045,-25.879,-6.348,-8.789,147.461,0.000,0
1639023045.049,-55.664,-8.301,-14.648,109.375,0.000,0
1639023045.052,-73.730,-14.160,-24.414,-126.953,0.000,0
1639023045.056,-70.801,-13.184,-21.973,-253.418,0.000,0
1639023045.060,-30.273,-9.277,-16.602,-85.938,0.000,0
1639023045.064,-15.625,-6.836,-15.137,134.277,0.000,0
1639023045.068,-56.641,-3.418,-15.625,119.629,0.000,0
1639023045.076,-87.891,-7.812,-26.367,-94.727,0.000,0
1639023045.080,-73.242,-17.090,-37.598,-229.492,0.000,0
1639023045.084,-29.785,-18.066,-32.227,-110.840,0.000,0
1639023045.088,-31.738,-17.090,-18.555,110.840,0.000,0
1639023045.092,-60.547,-13.184,-16.113,133.301,0.000,0
1639023045.096,-70.312,-20.508,-31.738,-74.219,0.000,0
1639023045.100,-44.922,-32.715,-44.922,-204.102,0.000,0
1639023045.104,-28.809,-29.785,-41.992,-109.863,0.000,0
1639023045.108,-41.504,-20.508,-26.855,75.684,0.000,0
1639023045.112,-55.664,-20.996,-28.320,133.301,0.000,0
