timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644802669.732,-137.207,-20.996,-30.273,-45.898,0.000,0
1644802669.736,-136.719,-27.832,-33.203,-27.344,0.000,0
1644802669.740,-142.090,-45.410,-30.273,-36.133,0.000,0
1644802669.744,-147.461,-58.105,-25.391,-52.246,0.000,0
1644802669.748,-134.766,-41.016,-23.926,-51.270,0.000,0
1644802669.751,-113.770,-23.438,-21.484,-43.457,0.000,0
1644802669.755,-112.793,-25.391,-22.949,-25.879,0.000,0
1644802669.759,-129.883,-35.156,-26.855,-27.832,0.000,0
1644802669.763,-145.508,-48.340,-28.809,-57.129,0.000,0
1644802669.767,-138.672,-36.621,-26.855,-64.453,0.000,0
1644802669.771,-118.652,-12.695,-25.391,-39.551,0.000,0
1644802669.774,-105.469,-25.391,-23.926,-6.836,0.000,0
1644802669.795,-117.676,-34.668,-25.391,-1.953,0.000,0
1644802669.799,-141.602,-28.320,-23.438,-29.297,0.000,0
1644802669.804,-140.625,-25.391,-21.484,-55.664,0.000,0
1644802669.808,-122.559,-7.324,-21.973,-46.387,0.000,0
1644802669.813,-112.793,-0.488,-20.996,-21.973,0.000,0
1644802669.817,-123.535,-22.949,-22.461,-16.602,0.000,0
1644802669.822,-137.207,-46.387,-16.113,-35.156,0.000,0
1644802669.826,-125.000,-34.180,-14.160,-58.594,0.000,0
1644802669.831,-119.629,-1.953,-20.020,-56.152,0.000,0
1644802669.835,-125.977,-5.371,-21.973,-34.180,0.000,0
1644802669.840,-132.812,-20.996,-23.438,-20.508,0.000,0
1644802669.844,-149.414,-39.551,-21.973,-41.504,0.000,0
1644802669.882,-147.461,-41.016,-22.949,-69.824,0.000,0
1644802669.888,-130.859,-13.672,-21.973,-59.082,0.000,0
1644802669.893,-129.883,-5.371,-18.066,-42.480,0.000,0
1644802669.899,-132.812,-13.184,-16.113,-39.062,0.000,0
1644802669.904,-147.949,-42.480,-22.461,-51.758,0.000,0
1644802669.909,-152.832,-47.363,-25.879,-76.172,0.000,0
1644802669.915,-132.812,-30.273,-19.531,-62.012,0.000,0
1644802669.920,-130.371,-20.996,-18.066,-32.227,0.000,0
1644802669.926,-137.695,-6.836,-21.973,-28.809,0.000,0
1644802669.931,-145.996,-28.320,-22.949,-40.527,0.000,0
1644802669.937,-145.020,-36.621,-21.973,-59.570,0.000,0
1644802669.942,-133.789,-13.672,-20.508,-62.012,0.000,0
1644802669.983,-129.395,-6.836,-18.066,-35.156,0.000,0
1644802669.989,-133.789,-15.625,-23.438,-25.391,0.000,0
1644802669.995,-149.902,-35.156,-26.367,-41.504,0.000,0
1644802670.001,-153.320,-44.434,-22.461,-49.805,0.000,1
1644802670.008,-138.672,-22.461,-22.461,-59.082,0.000,0
1644802670.014,-120.605,-12.695,-18.555,-34.180,0.000,0
1644802670.020,-125.488,-22.949,-20.508,-15.625,0.000,0
1644802670.026,-136.719,-41.016,-22.461,-37.109,0.000,0
1644802670.032,-142.090,-51.758,-25.879,-64.941,0.000,0
1644802670.039,-141.602,-28.809,-28.320,-65.918,0.000,0
1644802670.045,-128.418,0.000,-21.973,-39.062,0.000,0
1644802670.051,-124.023,0.977,-21.484,-30.273,0.000,0
1644802670.085,-139.160,-21.484,-18.066,-37.109,0.000,0
1644802670.092,-152.344,-51.758,-15.137,-46.387,0.000,0
1644802670.098,-136.230,-36.621,-20.996,-51.270,0.000,0
1644802670.105,-125.000,-10.254,-26.367,-55.176,0.000,0
1644802670.112,-132.324,-13.672,-24.902,-45.410,0.000,0
1644802670.118,-138.672,-28.809,-19.531,-38.086,0.000,0
1644802670.125,-146.973,-48.828,-18.066,-57.129,0.000,0
1644802670.132,-140.137,-33.691,-23.438,-69.824,0.000,0
1644802670.138,-132.812,-8.789,-32.715,-62.500,0.000,0
1644802670.145,-146.973,-4.883,-27.832,-44.434,0.000,0
1644802670.151,-152.832,-20.020,-23.438,-43.945,0.000,0
1644802670.158,-163.086,-43.457,-25.879,-75.195,0.000,0
1644802670.179,-160.156,-35.156,-25.879,-89.355,0.000,0
1644802670.186,-138.672,-6.348,-21.484,-56.641,0.000,0
1644802670.193,-128.906,-0.977,-14.160,-32.715,0.000,0
1644802670.200,-134.766,-14.160,-16.113,-40.039,0.000,0
1644802670.207,-155.762,-40.527,-20.996,-57.129,0.000,0
1644802670.214,-144.043,-46.387,-21.484,-67.383,0.000,0
1644802670.221,-125.977,-19.531,-20.996,-43.945,0.000,0
1644802670.227,-126.953,-12.695,-18.066,-32.227,0.000,0
1644802670.234,-124.023,-26.367,-16.113,-44.434,0.000,0
1644802670.241,-129.883,-44.434,-17.578,-54.688,0.000,0
1644802670.248,-142.090,-33.691,-22.949,-70.801,0.000,0
1644802670.255,-133.789,-7.812,-21.484,-68.359,0.000,0
1644802670.265,-123.047,0.488,-17.090,-52.734,0.000,0
1644802670.272,-121.582,-6.836,-13.672,-41.016,0.000,0
1644802670.279,-144.043,-28.809,-12.207,-54.688,0.000,0
1644802670.285,-155.762,-38.086,-17.578,-74.707,0.000,0
1644802670.292,-140.137,-17.090,-18.066,-67.383,0.000,0
1644802670.299,-130.859,-3.906,-12.207,-43.945,0.000,0
1644802670.306,-127.441,-1.953,-9.766,-42.480,0.000,0
1644802670.313,-140.137,-22.949,-13.184,-56.152,0.000,0
1644802670.320,-151.855,-39.062,-17.578,-69.336,0.000,0
1644802670.327,-136.230,-20.020,-17.578,-71.777,0.000,0
1644802670.334,-125.977,-3.418,-8.301,-51.270,0.000,0
1644802670.340,-132.324,-1.953,-6.348,-34.668,0.000,0
1644802670.341,-149.902,-25.391,-13.184,-41.992,0.000,0
1644802670.348,-161.621,-45.410,-18.066,-71.777,0.000,0
1644802670.355,-151.855,-27.832,-20.020,-83.008,0.000,0
1644802670.361,-139.160,-10.254,-17.578,-57.617,0.000,0
1644802670.368,-134.766,-20.020,-16.113,-39.551,0.000,0
1644802670.375,-145.996,-39.062,-20.996,-54.688,0.000,0
1644802670.382,-158.203,-54.199,-23.926,-77.148,0.000,0
1644802670.389,-147.949,-34.180,-23.926,-83.496,0.000,0
1644802670.396,-131.348,-4.395,-24.902,-69.336,0.000,0
1644802670.402,-134.277,-3.906,-21.484,-49.316,0.000,0
1644802670.409,-154.297,-26.367,-21.484,-48.828,0.000,0
1644802670.416,-156.738,-41.016,-20.508,-63.477,0.000,0
1644802670.409,-124.512,-29.297,-19.531,-67.871,0.000,0
1644802670.416,-115.723,-8.789,-15.625,-58.594,0.000,0
1644802670.422,-125.977,2.930,-6.836,-44.922,0.000,0
1644802670.429,-136.719,-16.602,-6.836,-44.434,0.000,0
1644802670.436,-148.926,-40.527,-11.230,-59.570,0.000,0
1644802670.442,-144.531,-34.668,-15.137,-79.102,0.000,0
1644802670.449,-134.766,-16.113,-16.602,-70.801,0.000,0
1644802670.456,-126.465,-9.766,-14.160,-49.316,0.000,0
1644802670.463,-137.695,-20.508,-15.625,-49.316,0.000,0
1644802670.469,-165.039,-48.828,-20.020,-64.453,0.000,0
1644802670.476,-141.602,-43.945,-15.625,-74.219,0.000,0
1644802670.483,-121.094,-34.180,-8.301,-44.922,0.000,0
1644802670.472,-128.906,-22.949,-7.812,-32.227,0.000,0
1644802670.478,-136.719,-13.672,-12.207,-47.852,0.000,0
1644802670.485,-143.555,-42.480,-9.766,-52.246,0.000,0
1644802670.491,-136.719,-42.969,-9.766,-68.359,0.000,0
1644802670.498,-125.488,-22.461,-14.160,-64.941,0.000,0
1644802670.504,-122.559,-11.719,-13.672,-46.387,0.000,0
1644802670.511,-121.582,-13.184,-14.648,-52.246,0.000,0
1644802670.517,-131.348,-35.645,-15.625,-70.312,0.000,0
1644802670.524,-140.625,-41.016,-16.113,-81.055,0.000,0
1644802670.530,-121.582,-7.324,-15.137,-72.754,0.000,0
1644802670.537,-104.980,-1.465,-16.113,-54.688,0.000,0
