timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798598.582,-57.129,-553.711,-35.645,-31.250,0.000,0
1644798598.588,-54.688,-497.559,-31.250,-41.016,0.000,0
1644798598.594,-41.016,-100.586,-24.902,-22.949,0.000,0
1644798598.601,-39.551,-270.508,-32.715,-17.578,0.000,0
1644798598.607,-52.734,-545.410,-38.574,-24.902,0.000,0
1644798598.613,-66.406,-899.902,-37.109,-25.391,0.000,0
1644798598.619,-57.617,-908.203,-33.691,-26.367,0.000,0
1644798598.625,-47.363,-236.816,-35.156,-31.738,0.000,0
1644798598.632,-46.387,186.523,-36.621,-19.531,0.000,0
1644798598.638,-52.246,-12.695,-31.250,-2.930,0.000,0
1644798598.644,-61.523,-436.035,-28.320,-16.113,0.000,0
1644798598.648,-49.316,-698.730,-35.156,-40.527,0.000,0
1644798598.654,-36.621,-438.965,-36.621,-42.969,0.000,0
1644798598.661,-33.203,32.715,-30.762,-23.926,0.000,0
1644798598.667,-44.922,42.969,-26.855,-10.742,0.000,0
1644798598.673,-56.641,-420.410,-29.785,-25.391,0.000,0
1644798598.679,-55.176,-849.609,-36.133,-45.898,0.000,0
1644798598.685,-37.109,-558.594,-38.086,-34.180,0.000,0
1644798598.691,-26.367,24.414,-36.621,-19.531,0.000,0
1644798598.698,-40.039,100.586,-41.992,-30.762,0.000,0
1644798598.704,-63.477,-335.449,-46.875,-24.902,0.000,0
1644798598.710,-66.406,-579.102,-41.016,-38.574,0.000,0
1644798598.716,-38.574,-816.895,-39.062,-34.180,0.000,0
1644798598.713,-21.484,-779.297,-33.691,-5.859,0.000,0
1644798598.719,-22.949,-138.672,-29.297,-2.441,0.000,0
1644798598.726,-40.039,-277.832,-40.527,-9.277,0.000,0
1644798598.732,-59.570,-712.891,-42.969,-35.645,0.000,0
1644798598.738,-37.598,-526.367,-30.762,-28.809,0.000,0
1644798598.744,-16.602,-198.242,-33.203,-13.184,0.000,0
1644798598.750,-25.391,-217.285,-38.086,-10.254,0.000,0
1644798598.756,-31.738,-550.293,-31.738,-1.465,0.000,0
1644798598.762,-36.621,-691.895,-29.785,3.418,0.000,0
1644798598.768,-26.855,-264.160,-33.203,-9.766,0.000,0
1644798598.774,-17.578,137.695,-36.133,-16.602,0.000,0
1644798598.780,-21.973,212.402,-34.180,-11.230,0.000,0
1644798598.776,-31.738,-135.742,-34.180,2.441,0.000,0
1644798598.782,-32.227,-556.641,-39.062,-0.977,0.000,0
1644798598.788,-27.832,-356.445,-38.574,-19.043,0.000,0
1644798598.794,-16.602,119.141,-35.156,-14.160,0.000,0
1644798598.800,-19.043,166.504,-37.109,-14.160,0.000,0
1644798598.806,-44.434,-375.488,-38.086,-19.043,0.000,0
1644798598.812,-50.781,-952.148,-38.086,-20.508,0.000,0
1644798598.818,-40.527,-841.309,-36.133,-23.926,0.000,0
1644798598.824,-34.180,-122.070,-32.715,-23.926,0.000,0
1644798598.830,-26.855,248.047,-29.297,-7.324,0.000,0
1644798598.836,-41.504,-4.395,-29.297,-15.137,0.000,0
1644798598.842,-60.059,-482.910,-35.156,-23.926,0.000,0
1644798598.832,-46.875,-449.219,-33.691,-23.438,0.000,0
1644798598.838,-36.621,-18.066,-31.250,-27.832,0.000,0
1644798598.844,-35.156,189.941,-27.832,-20.508,0.000,0
1644798598.850,-38.574,16.602,-29.297,-16.113,0.000,0
1644798598.855,-41.504,-496.094,-35.156,-14.160,0.000,0
1644798598.861,-38.574,-778.809,-35.645,-19.043,0.000,0
1644798598.867,-25.879,-556.641,-32.715,-23.926,0.000,0
1644798598.873,-13.672,-267.090,-32.227,-15.625,0.000,0
1644798598.879,-30.273,-175.781,-34.180,-11.230,0.000,0
1644798598.885,-53.223,-576.172,-31.738,-9.766,0.000,0
1644798598.891,-47.363,-773.438,-29.785,-20.020,0.000,0
1644798598.897,-25.391,-255.859,-24.902,-20.020,0.000,0
1644798598.883,-18.555,196.289,-31.738,-13.672,0.000,0
1644798598.889,-19.043,-252.930,-39.062,-12.207,0.000,0
1644798598.894,-30.273,-1000.000,-41.992,-15.625,0.000,0
1644798598.900,-47.363,-826.660,-38.086,-44.434,0.000,0
1644798598.906,-31.250,-222.656,-33.203,-46.387,0.000,0
1644798598.912,-23.438,-101.074,-37.109,-24.902,0.000,1
1644798598.918,-34.668,-289.062,-34.668,-19.531,0.000,0
1644798598.923,-49.805,-464.355,-32.227,-27.832,0.000,0
1644798598.929,-51.758,-523.926,-32.715,-20.508,0.000,0
1644798598.935,-33.203,-181.152,-30.762,-20.996,0.000,0
1644798598.941,-17.090,176.758,-32.715,-40.527,0.000,0
1644798598.946,-31.250,173.828,-36.621,-38.086,0.000,0
1644798598.929,-47.852,-337.402,-36.621,-35.645,0.000,0
1644798598.935,-57.617,-737.793,-35.645,-42.480,0.000,0
1644798598.941,-46.387,-333.008,-36.621,-41.504,0.000,0
1644798598.946,-28.320,173.828,-33.203,-17.578,0.000,0
1644798598.952,-39.551,95.703,-35.156,-16.113,0.000,0
1644798598.958,-49.805,-569.336,-43.457,-34.668,0.000,0
1644798598.963,-54.688,-972.168,-39.551,-37.109,0.000,0
1644798598.969,-42.969,-704.102,-29.297,-33.203,0.000,0
1644798598.975,-20.508,-355.957,-26.855,-20.020,0.000,0
1644798598.980,-19.043,-666.504,-27.832,-8.301,0.000,0
1644798598.986,-50.293,-658.203,-27.832,-12.207,0.000,0
1644798598.992,-67.383,-434.570,-32.715,-36.133,0.000,0
1644798598.972,-43.945,-658.691,-34.180,-37.598,0.000,0
1644798598.978,-32.715,-910.156,-36.621,-33.203,0.000,0
1644798598.983,-44.434,-275.391,-35.645,-47.363,0.000,0
1644798598.989,-57.617,-54.688,-31.738,-36.621,0.000,0
1644798598.994,-62.500,-770.020,-39.062,-11.719,0.000,0
1644798599.000,-53.711,-946.289,-41.992,-16.602,0.000,0
1644798599.005,-40.527,-276.367,-31.250,-44.434,0.000,0
1644798599.011,-42.480,235.840,-28.809,-34.668,0.000,0
1644798599.016,-55.176,-260.254,-32.227,-27.832,0.000,0
1644798599.022,-74.219,-684.570,-38.574,-40.039,0.000,0
1644798599.027,-71.777,-373.535,-40.527,-49.316,0.000,0
1644798599.033,-48.828,78.125,-35.645,-44.922,0.000,0
1644798599.016,-39.551,-152.344,-37.598,-25.879,0.000,0
1644798599.021,-52.734,-352.051,-31.738,-19.531,0.000,0
1644798599.027,-74.707,-301.270,-32.715,-21.484,0.000,0
1644798599.032,-71.777,-415.039,-39.551,-39.551,0.000,0
1644798599.038,-50.781,-610.352,-39.551,-53.711,0.000,0
1644798599.043,-41.992,-437.012,-34.180,-30.273,0.000,0
1644798599.048,-46.387,-232.422,-30.762,-19.531,0.000,0
1644798599.054,-62.500,-673.340,-34.668,-35.645,0.000,0
1644798599.059,-63.965,-1000.000,-35.156,-37.598,0.000,0
1644798599.064,-49.805,-625.000,-29.297,-31.250,0.000,0
1644798599.070,-52.734,297.363,-25.879,-35.645,0.000,0
1644798599.075,-68.848,-18.555,-39.062,-29.785,0.000,0
1644798599.056,-72.754,-652.344,-47.363,-36.133,0.000,0
1644798599.062,-62.500,-476.074,-41.016,-53.223,0.000,0
1644798599.067,-65.430,4.395,-28.809,-54.199,0.000,0
1644798599.072,-60.547,-93.750,-29.785,-21.973,0.000,0
1644798599.078,-61.523,-755.371,-39.551,-4.883,0.000,0
1644798599.083,-84.961,-829.590,-42.480,-18.555,0.000,0
1644798599.088,-83.984,-689.453,-38.574,-31.738,0.000,0
1644798599.093,-60.059,-777.832,-34.180,-31.738,0.000,0
1644798599.099,-49.316,-833.008,-36.621,-28.809,0.000,0
1644798599.104,-47.363,-153.809,-34.668,-39.551,0.000,0
1644798599.109,-63.965,-258.789,-33.691,-36.133,0.000,0
1644798599.114,-83.984,-770.508,-35.156,-36.133,0.000,0
1644798599.095,-61.035,-414.551,-29.297,-41.504,0.000,0
1644798599.101,-42.969,270.996,-31.250,-39.551,0.000,0
1644798599.106,-41.992,339.355,-34.180,-33.203,0.000,0
1644798599.111,-42.969,-422.363,-26.367,-28.320,0.000,0
1644798599.116,-59.082,-716.309,-24.902,-32.227,0.000,0
1644798599.121,-68.848,-422.852,-31.250,-43.457,0.000,0
1644798599.126,-54.688,-159.668,-31.250,-40.527,0.000,0
1644798599.132,-35.645,-603.027,-29.297,-20.508,0.000,0
1644798599.137,-44.434,-710.938,-27.344,-11.719,0.000,0
1644798599.142,-75.684,-275.879,-29.785,-36.133,0.000,0
1644798599.147,-65.430,-377.930,-32.715,-33.691,0.000,0
1644798599.152,-26.367,-737.305,-27.832,-5.371,0.000,0
1644798599.132,-35.156,-304.199,-26.855,-17.578,0.000,0
1644798599.137,-60.059,-68.359,-28.320,-15.137,0.000,0
1644798599.142,-70.312,-737.305,-29.297,-20.996,0.000,0
1644798599.147,-57.617,-931.152,-29.785,-40.039,0.000,0
1644798599.152,-42.480,-225.586,-22.461,-35.645,0.000,0
1644798599.157,-43.945,128.906,-22.949,-23.926,0.000,0
1644798599.162,-52.734,-478.027,-33.203,-24.902,0.000,0
1644798599.167,-68.848,-952.148,-34.668,-27.344,0.000,0
1644798599.172,-73.242,-563.965,-28.320,-43.945,0.000,0
1644798599.177,-57.617,135.742,-27.832,-38.086,0.000,0
1644798599.182,-45.410,-186.035,-29.297,-8.789,0.000,0
1644798599.187,-57.617,-731.934,-28.809,-2.930,0.000,0
1644798599.169,-79.102,-327.148,-29.785,-23.438,0.000,0
1644798599.174,-74.707,-293.457,-34.668,-46.875,0.000,0
1644798599.179,-56.152,-371.094,-32.715,-36.133,0.000,0
1644798599.184,-49.805,45.410,-28.320,-26.855,0.000,0
1644798599.188,-64.453,149.414,-36.133,-23.926,0.000,0
1644798599.193,-78.125,-500.488,-39.551,-23.926,0.000,0
1644798599.198,-86.426,-840.820,-38.574,-41.504,0.000,0
1644798599.203,-72.754,-312.012,-34.180,-47.852,0.000,0
1644798599.208,-43.457,405.762,-24.902,-40.527,0.000,0
1644798599.213,-41.992,189.941,-32.715,-35.645,0.000,0
1644798599.218,-64.453,-654.297,-41.016,-43.945,0.000,0
1644798599.223,-70.801,-571.289,-34.668,-42.969,0.000,0
1644798599.205,-45.410,142.578,-28.320,-38.086,0.000,0
1644798599.209,-30.273,157.227,-29.297,-18.555,0.000,0
1644798599.214,-38.574,-750.488,-35.645,-0.977,0.000,0
1644798599.219,-58.594,-818.848,-41.016,-18.555,0.000,0
1644798599.224,-67.383,-286.133,-41.992,-39.551,0.000,0
1644798599.229,-52.246,-536.133,-44.434,-41.016,0.000,0
1644798599.234,-43.457,-879.883,-45.898,-34.180,0.000,0
1644798599.239,-40.527,-325.684,-38.574,-38.086,0.000,0
1644798599.243,-57.129,-45.410,-40.039,-35.645,0.000,0
1644798599.248,-65.918,-664.062,-47.363,-43.457,0.000,0
1644798599.253,-55.664,-464.844,-44.922,-60.547,0.000,0
1644798599.258,-38.574,326.172,-38.574,-46.387,0.000,0
1644798599.240,-33.691,452.637,-37.109,-48.828,0.000,0
1644798599.244,-58.594,-391.602,-43.457,-38.086,0.000,0
1644798599.249,-66.406,-916.992,-39.551,-30.762,0.000,0
1644798599.254,-53.711,-163.574,-35.645,-61.523,0.000,0
1644798599.259,-38.574,352.051,-39.551,-64.941,0.000,0
1644798599.263,-38.086,-373.047,-38.574,-35.645,0.000,0
1644798599.268,-57.617,-915.039,-40.039,-31.250,0.000,0
1644798599.273,-70.801,-631.836,-43.457,-48.828,0.000,0
1644798599.278,-62.988,-578.125,-39.551,-53.711,0.000,0
1644798599.282,-41.992,-307.617,-36.621,-42.969,0.000,0
1644798599.287,-45.898,94.727,-38.086,-34.180,0.000,0
1644798599.292,-64.453,249.023,-34.668,-41.016,0.000,0
1644798599.275,-64.453,-425.781,-33.203,-47.363,0.000,0
1644798599.280,-48.828,-728.516,-34.180,-38.086,0.000,0
1644798599.285,-32.715,72.266,-31.738,-34.668,0.000,0
1644798599.289,-33.691,550.293,-34.180,-39.062,0.000,0
1644798599.294,-46.875,-59.082,-35.645,-24.414,0.000,0
1644798599.299,-65.430,-1000.000,-37.598,-22.461,0.000,0
1644798599.303,-68.359,-626.953,-35.645,-46.875,0.000,0
1644798599.308,-44.434,149.902,-27.832,-59.082,0.000,0
1644798599.313,-35.645,122.559,-27.344,-35.156,0.000,0
1644798599.318,-47.852,35.156,-27.344,-22.949,0.000,0
1644798599.322,-59.570,-160.645,-28.320,-32.715,0.000,0
1644798599.327,-56.152,-233.398,-31.738,-49.316,0.000,0
1644798599.309,-38.086,-563.965,-30.762,-41.504,0.000,0
1644798599.314,-25.879,-746.094,-32.227,-21.484,0.000,0
1644798599.318,-35.645,93.262,-33.203,-26.367,0.000,0
1644798599.323,-60.547,-122.559,-36.133,-34.668,0.000,0
1644798599.327,-62.500,-659.180,-38.574,-46.875,0.000,0
1644798599.332,-32.227,-387.207,-35.156,-41.016,0.000,0
1644798599.337,-20.508,18.555,-31.250,-32.227,0.000,0
1644798599.341,-32.715,0.977,-26.855,-20.996,0.000,0
1644798599.346,-47.852,-729.492,-27.344,-13.672,0.000,0
1644798599.350,-45.898,-800.781,-26.367,-19.043,0.000,0
1644798599.355,-27.344,24.414,-24.902,-31.738,0.000,0
1644798599.360,-16.602,119.629,-27.832,-32.715,0.000,0
1644798599.342,-18.555,-35.645,-21.973,-13.672,0.000,0
1644798599.347,-35.156,-22.461,-24.902,-18.066,0.000,0
1644798599.352,-48.340,-208.008,-34.180,-41.504,0.000,0
1644798599.356,-29.785,-457.520,-27.344,-34.180,0.000,0
1644798599.361,-17.090,-463.867,-26.367,-20.508,0.000,0
1644798599.365,-36.133,-83.984,-33.203,-34.668,0.000,0
1644798599.370,-48.828,-287.598,-36.133,-35.156,0.000,0
1644798599.374,-53.223,-784.668,-35.156,-25.879,0.000,0
1644798599.379,-40.527,-991.211,-27.832,-23.438,0.000,0
1644798599.383,-22.461,-205.078,-20.996,-27.344,0.000,0
1644798599.388,-23.438,441.895,-20.996,-23.438,0.000,0
1644798599.392,-41.016,-363.281,-28.809,-9.766,0.000,0
1644798599.377,-61.523,-844.727,-34.180,-27.344,0.000,0
1644798599.382,-40.527,-175.293,-30.762,-44.922,0.000,0
1644798599.386,-18.066,224.609,-32.715,-36.133,0.000,0
1644798599.391,-32.227,-1.465,-37.109,-19.043,0.000,0
1644798599.395,-44.434,-139.648,-37.598,-10.254,0.000,0
1644798599.400,-57.129,-491.699,-38.574,-25.879,0.000,0
1644798599.404,-55.664,-623.535,-34.668,-38.086,0.000,0
1644798599.409,-33.691,-769.043,-27.344,-19.531,0.000,0
1644798599.413,-28.809,-934.082,-24.902,-2.441,0.000,0
1644798599.418,-53.223,-176.270,-28.809,-20.020,0.000,0
1644798599.422,-70.312,-395.996,-36.621,-20.508,0.000,0
1644798599.427,-50.781,-735.840,-41.016,-34.180,0.000,0
1644798599.412,-24.414,-15.625,-39.551,-30.762,0.000,0
1644798599.416,-26.367,416.992,-33.203,-9.766,0.000,0
1644798599.421,-33.203,102.051,-31.250,-10.742,0.000,0
1644798599.425,-47.852,-355.469,-33.203,-21.973,0.000,0
1644798599.429,-50.781,-300.781,-33.203,-36.621,0.000,0
1644798599.434,-25.391,-48.340,-28.320,-27.344,0.000,0
1644798599.438,-20.020,-237.305,-25.391,-9.766,0.000,0
1644798599.443,-36.133,-333.496,-24.414,-10.742,0.000,0
1644798599.447,-56.641,-149.414,-27.832,-27.344,0.000,0
1644798599.452,-55.664,-212.891,-32.227,-30.273,0.000,0
1644798599.456,-44.434,-548.828,-31.738,-20.508,0.000,0
1644798599.460,-44.434,-371.582,-30.762,-23.438,0.000,0
1644798599.447,-44.434,290.039,-28.809,-33.203,0.000,0
1644798599.451,-49.316,-77.148,-26.855,-33.691,0.000,0
1644798599.456,-53.223,-830.566,-26.855,-34.180,0.000,0
1644798599.460,-41.504,-495.117,-24.414,-34.668,0.000,0
1644798599.464,-27.832,318.848,-21.484,-26.855,0.000,0
1644798599.469,-34.180,43.945,-29.297,-19.531,0.000,0
1644798599.473,-57.129,-756.348,-34.180,-16.113,0.000,0
1644798599.477,-63.477,-913.086,-27.832,-30.273,0.000,0
1644798599.482,-45.898,-134.766,-24.902,-49.316,0.000,0
1644798599.486,-24.414,143.066,-28.320,-30.762,0.000,0
1644798599.491,-19.531,-154.785,-32.227,-15.625,0.000,0
