timestamps,TP9,AF7,AF8,TP10,Right AUX
1644798745.306,-14.160,234.863,-26.855,-29.785,0.000,0
1644798745.311,-19.043,311.035,-28.320,-25.879,0.000,0
1644798745.316,-21.484,-501.953,-27.344,-5.371,0.000,0
1644798745.321,-27.344,-860.840,-30.762,-13.184,0.000,0
1644798745.326,-24.902,-320.801,-34.180,-30.273,0.000,0
1644798745.330,-13.184,52.734,-26.855,-7.812,0.000,0
1644798745.335,-15.137,391.113,-26.367,-13.672,0.000,0
1644798745.340,-20.020,336.914,-29.785,-31.738,0.000,0
1644798745.345,-30.273,-34.180,-28.809,-19.531,0.000,0
1644798745.350,-34.668,-106.445,-31.738,-33.203,0.000,0
1644798745.360,-29.297,129.883,-33.691,-53.223,0.000,0
1644798745.365,-25.879,250.000,-34.180,-43.457,0.000,0
1644798745.370,-37.109,221.680,-36.621,-31.250,0.000,0
1644798745.375,-61.523,-18.066,-41.504,-33.691,0.000,0
1644798745.379,-56.152,-100.098,-39.551,-55.664,0.000,0
1644798745.384,-26.855,9.277,-36.133,-60.059,0.000,0
1644798745.389,-27.344,130.371,-35.156,-39.062,0.000,0
1644798745.394,-38.086,192.383,-35.645,-39.551,0.000,0
1644798745.399,-43.945,-31.738,-41.992,-40.039,0.000,0
1644798745.404,-42.969,-192.871,-42.969,-47.852,0.000,0
1644798745.409,-20.508,146.484,-38.574,-52.734,0.000,0
1644798745.413,-13.184,-169.922,-36.133,-11.230,0.000,0
1644798745.417,-27.832,-396.484,-35.156,8.301,0.000,0
1644798745.422,-36.621,-19.531,-36.621,-24.414,0.000,0
1644798745.427,-38.574,-94.238,-37.109,-48.340,0.000,0
1644798745.432,-26.855,34.180,-35.645,-51.758,0.000,0
1644798745.437,-22.949,177.734,-34.668,-54.199,0.000,0
1644798745.442,-31.738,98.633,-30.762,-42.969,0.000,0
1644798745.447,-40.527,-183.594,-28.320,-41.504,0.000,0
1644798745.451,-47.852,-342.773,-30.762,-48.828,0.000,0
1644798745.456,-36.133,-3.906,-32.227,-52.246,0.000,0
1644798745.461,-19.043,382.324,-28.809,-40.527,0.000,0
1644798745.466,-19.531,391.113,-28.320,-23.438,0.000,0
1644798745.471,-40.527,119.141,-33.203,-26.855,0.000,0
1644798745.470,-53.711,-141.602,-37.598,-38.086,0.000,0
1644798745.475,-38.086,-14.160,-36.133,-35.156,0.000,0
1644798745.479,-20.020,297.363,-30.762,-8.301,0.000,0
1644798745.484,-27.344,357.910,-32.715,-24.902,0.000,0
1644798745.489,-44.922,39.062,-39.551,-51.270,0.000,0
1644798745.494,-46.875,-334.473,-38.574,-43.457,0.000,0
1644798745.499,-27.344,-639.160,-34.180,-33.203,0.000,0
1644798745.503,-19.043,-470.703,-37.598,-47.852,0.000,0
1644798745.508,-27.344,251.465,-39.062,-49.316,0.000,0
1644798745.513,-29.297,238.770,-37.598,-45.898,0.000,0
1644798745.518,-41.016,-99.609,-40.527,-41.016,0.000,0
1644798745.523,-32.715,-36.133,-43.457,-46.387,0.000,0
1644798745.517,-10.742,292.480,-40.039,-58.594,0.000,0
1644798745.522,-17.578,368.164,-40.039,-40.527,0.000,0
1644798745.527,-30.762,144.043,-41.992,-27.344,0.000,0
1644798745.532,-41.504,-142.090,-36.621,-25.391,0.000,0
1644798745.536,-35.645,-171.875,-34.180,-25.879,0.000,0
1644798745.541,-17.090,1.465,-32.715,-17.090,0.000,0
1644798745.546,-15.137,58.105,-29.785,-14.160,0.000,0
1644798745.551,-21.484,-42.969,-31.738,-28.809,0.000,0
1644798745.555,-33.203,-151.855,-33.203,-37.598,0.000,0
1644798745.560,-34.180,-176.758,-29.785,-51.758,0.000,0
1644798745.565,-18.555,41.504,-25.391,-32.715,0.000,0
1644798745.570,-20.020,328.125,-26.367,-13.672,0.000,0
1644798745.561,-25.391,352.051,-29.297,-28.320,0.000,0
1644798745.566,-29.785,-298.828,-35.156,-29.785,0.000,0
1644798745.570,-30.762,-890.137,-35.156,-6.348,0.000,0
1644798745.575,-26.367,-114.746,-25.879,-21.973,0.000,0
1644798745.580,-20.020,439.453,-28.809,-37.598,0.000,0
1644798745.584,-14.160,145.996,-34.668,-21.973,0.000,0
1644798745.589,-31.250,-214.355,-39.551,-28.809,0.000,0
1644798745.594,-47.363,-205.566,-40.039,-31.250,0.000,0
1644798745.598,-22.949,168.945,-32.227,-7.812,0.000,0
1644798745.603,-1.953,397.461,-35.156,-3.418,0.000,0
1644798745.608,-14.160,360.352,-36.621,-16.602,0.000,0
1644798745.612,-37.598,98.145,-32.715,-24.902,0.000,0
1644798745.601,-39.551,-192.871,-32.227,-32.715,0.000,0
1644798745.606,-24.414,-102.051,-35.156,-39.551,0.000,0
1644798745.610,-18.066,264.648,-39.551,-30.762,0.000,0
1644798745.615,-23.438,347.168,-37.109,-19.043,0.000,0
1644798745.620,-37.109,4.883,-35.156,-25.879,0.000,0
1644798745.624,-46.875,-402.344,-37.109,-36.133,0.000,0
1644798745.629,-40.527,-309.082,-35.156,-42.969,0.000,0
1644798745.633,-25.391,44.434,-33.203,-36.621,0.000,0
1644798745.638,-22.949,42.969,-34.180,-21.484,0.000,0
1644798745.642,-35.156,-458.496,-32.227,-13.672,0.000,0
1644798745.647,-46.875,-399.902,-27.344,-30.273,0.000,0
1644798745.651,-43.945,152.832,-27.832,-38.574,0.000,0
1644798745.640,-23.926,137.207,-30.762,-16.113,0.000,0
1644798745.644,-20.508,-298.340,-32.227,7.324,0.000,0
1644798745.649,-45.898,-89.355,-33.691,0.977,0.000,0
1644798745.653,-55.664,-8.789,-32.227,-31.738,0.000,0
1644798745.658,-32.227,-391.113,-25.391,-34.180,0.000,0
1644798745.662,-14.648,-435.547,-26.367,-33.691,0.000,0
1644798745.667,-16.602,158.691,-27.832,-19.043,0.000,0
1644798745.671,-26.367,437.500,-28.320,-10.742,0.000,0
1644798745.676,-36.133,-393.066,-40.039,-26.367,0.000,0
1644798745.680,-27.344,-658.203,-40.039,-21.484,0.000,0
1644798745.685,-19.531,319.336,-27.832,-16.602,0.000,0
1644798745.689,-19.043,647.461,-31.250,-20.020,0.000,0
1644798745.676,-17.090,-124.512,-37.598,-20.996,0.000,0
1644798745.680,-35.156,-578.125,-36.133,2.441,0.000,0
1644798745.684,-38.086,64.941,-32.227,-20.996,0.000,0
1644798745.689,-5.859,420.898,-27.344,-52.734,0.000,0
1644798745.693,0.977,-67.871,-29.785,-23.926,0.000,0
1644798745.698,-17.578,-303.711,-36.621,-14.160,0.000,0
1644798745.702,-35.645,-91.309,-39.551,-13.672,0.000,0
1644798745.706,-28.809,-195.312,-37.598,-9.277,0.000,0
1644798745.711,-14.160,-362.305,-30.762,-15.137,0.000,0
1644798745.715,-18.555,113.770,-29.785,-14.160,0.000,0
