timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802098.603,-104.492,-16.113,-70.801,-71.777,0.000,0
1644802098.609,-121.094,-17.578,-72.754,-74.219,0.000,0
1644802098.614,-115.723,-20.020,-68.359,-95.215,0.000,0
1644802098.619,-83.984,-18.555,-68.848,-89.844,0.000,0
1644802098.625,-78.125,-17.090,-66.895,-84.961,0.000,0
1644802098.630,-85.449,-15.625,-62.012,-86.426,0.000,0
1644802098.635,-112.793,-20.020,-72.754,-89.355,0.000,0
1644802098.641,-123.047,-23.438,-82.520,-120.117,0.000,0
1644802098.646,-87.891,-18.555,-74.707,-125.000,0.000,0
1644802098.651,-82.031,-16.602,-66.406,-98.633,0.000,0
1644802098.657,-93.262,-20.020,-64.453,-73.730,0.000,0
1644802098.667,-112.305,-21.973,-69.824,-76.660,0.000,0
1644802098.672,-116.699,-16.602,-72.266,-106.445,0.000,0
1644802098.678,-99.121,-10.742,-61.523,-104.980,0.000,0
1644802098.683,-94.238,-7.812,-55.176,-86.426,0.000,0
1644802098.689,-104.004,-13.184,-55.664,-85.938,0.000,0
1644802098.694,-124.023,-23.926,-57.129,-89.355,0.000,0
1644802098.699,-133.301,-23.438,-59.082,-91.309,0.000,0
1644802098.705,-110.352,-20.020,-60.059,-107.422,0.000,0
1644802098.710,-97.168,-17.090,-59.570,-122.559,0.000,0
1644802098.716,-107.422,-19.043,-61.523,-101.562,0.000,0
1644802098.721,-123.535,-22.949,-63.965,-91.797,0.000,0
1644802098.726,-122.070,-23.926,-64.941,-96.680,0.000,0
1644802098.734,-100.098,-18.555,-64.941,-103.027,0.000,0
1644802098.739,-96.680,-10.742,-60.547,-93.262,0.000,0
1644802098.744,-97.656,-14.160,-53.223,-80.566,0.000,0
1644802098.750,-115.723,-20.508,-64.453,-73.242,0.000,0
1644802098.755,-132.324,-25.879,-74.219,-83.496,0.000,0
1644802098.761,-108.398,-21.484,-62.988,-107.422,0.000,0
1644802098.766,-81.543,-16.113,-60.547,-94.238,0.000,0
1644802098.772,-82.520,-15.137,-63.477,-72.266,0.000,0
1644802098.777,-102.051,-14.648,-69.336,-67.871,0.000,0
1644802098.782,-133.301,-20.020,-73.242,-83.984,0.000,0
1644802098.788,-130.371,-20.020,-67.871,-86.426,0.000,0
1644802098.793,-96.680,-22.461,-64.453,-92.773,0.000,0
1644802098.794,-95.703,-24.902,-66.895,-98.145,0.000,0
1644802098.799,-118.164,-21.973,-66.895,-83.984,0.000,0
1644802098.805,-139.648,-26.367,-62.988,-69.824,0.000,0
1644802098.810,-124.023,-25.879,-62.012,-83.984,0.000,0
1644802098.815,-94.238,-15.625,-60.059,-92.285,0.000,0
1644802098.821,-93.750,-15.625,-50.781,-84.961,0.000,0
1644802098.826,-90.820,-27.832,-53.223,-75.195,0.000,0
1644802098.832,-120.605,-31.250,-67.383,-81.055,0.000,0
