timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1639814478.217,-541.992,-29.297,-44.434,6.348,0.000,0
1639814478.221,774.902,-31.738,-49.316,50.293,0.000,0
1639814478.225,784.668,-36.621,-56.641,-45.898,0.000,0
1639814478.229,-490.723,-37.109,-44.922,-123.535,0.000,0
1639814478.232,-1000.000,-27.832,-37.109,-45.410,0.000,0
1639814478.236,-688.477,-26.855,-42.480,18.555,0.000,0
1639814478.240,570.312,-32.227,-49.316,71.777,0.000,0
1639814478.244,889.648,-28.809,-61.523,-19.043,0.000,0
1639814478.248,-368.652,-28.809,-63.965,-136.719,0.000,0
1639814478.252,-1000.000,-28.320,-51.270,-66.895,0.000,0
1639814478.255,-760.254,-22.461,-36.133,3.418,0.000,0
1639814478.259,450.195,-24.414,-32.715,55.664,0.000,0
1639814478.263,922.363,-49.316,-54.688,4.883,0.000,0
1639814478.268,-316.895,-50.293,-48.340,-102.539,0.000,0
1639814478.272,-1000.000,-32.715,-30.762,-65.430,0.000,1
1639814478.276,-830.078,-27.344,-36.133,-6.348,0.000,0
1639814478.280,274.902,-23.438,-36.621,44.434,0.000,0
1639814478.284,-921.875,-20.996,-43.457,0.000,0.000,0
1639814478.288,-47.363,-27.832,-39.062,-113.281,0.000,0
1639814478.291,-1000.000,-30.273,-40.039,-71.289,0.000,0
1639814478.295,-911.621,-24.414,-41.504,-6.836,0.000,0
1639814478.299,137.695,-21.973,-36.621,48.340,0.000,0
1639814478.303,-869.629,-27.832,-52.734,10.254,0.000,0
1639814478.307,172.363,-26.855,-46.875,-110.840,0.000,0
1639814478.311,-1000.000,-19.531,-33.691,-83.984,0.000,0
1639814478.319,-967.285,-29.297,-43.945,-21.973,0.000,0
1639814478.323,37.109,-29.297,-41.504,40.039,0.000,0
1639814478.327,-874.023,-30.762,-41.992,29.785,0.000,0
1639814478.331,336.914,-40.039,-49.805,-112.305,0.000,0
1639814478.335,-909.180,-40.039,-40.527,-112.305,0.000,0
1639814478.339,-1000.000,-34.180,-33.691,-23.926,0.000,0
1639814478.343,-212.891,-27.832,-51.758,46.387,0.000,0
1639814478.347,-972.168,-31.250,-57.617,45.410,0.000,0
1639814478.351,523.438,-27.344,-38.086,-86.426,0.000,0
1639814478.355,-768.066,-22.949,-26.855,-100.098,0.000,0
1639814478.359,-1000.000,-19.531,-27.832,-19.531,0.000,0
1639814478.363,-286.621,-20.020,-38.086,43.457,0.000,0
1639814478.385,976.074,-27.832,-54.688,53.711,0.000,0
1639814478.390,619.629,-30.273,-52.246,-65.918,0.000,0
1639814478.394,-660.645,-20.508,-33.691,-107.422,0.000,0
1639814478.398,-1000.000,-24.414,-30.273,-29.297,0.000,0
1639814478.403,-489.746,-32.227,-40.039,27.344,0.000,0
1639814478.407,809.082,-34.180,-51.758,60.547,0.000,0
1639814478.411,744.629,-38.574,-54.688,-39.551,0.000,0
1639814478.416,-534.668,-30.273,-38.086,-107.422,0.000,0
1639814478.420,-1000.000,-23.438,-23.438,-36.621,0.000,0
1639814478.425,-617.676,-27.344,-41.504,12.207,0.000,0
1639814478.429,645.996,-27.344,-46.875,54.199,0.000,0
1639814478.433,893.066,-23.438,-36.621,-15.625,0.000,0
1639814478.457,-355.469,-19.531,-27.344,-101.074,0.000,0
1639814478.461,-1000.000,-23.438,-31.250,-47.363,0.000,0
1639814478.466,-855.469,-26.367,-50.293,3.906,0.000,0
1639814478.471,344.727,-20.020,-52.734,30.273,0.000,0
1639814478.476,989.258,-18.555,-43.945,-42.480,0.000,0
1639814478.480,-258.301,-29.297,-41.016,-135.742,0.000,0
1639814478.485,-1000.000,-30.762,-34.180,-76.172,0.000,0
1639814478.490,-847.656,-19.043,-24.414,-2.930,0.000,0
