timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445063.442,-2.441,-21.484,43.945,5.859,0.000,0
1641445063.447,-190.918,-83.496,-35.156,-196.289,0.000,0
1641445063.452,-182.129,-80.566,-44.434,-192.383,0.000,0
1641445063.457,14.160,-20.996,27.344,2.441,0.000,0
1641445063.462,48.828,-8.301,47.852,44.434,0.000,0
1641445063.467,-178.711,-62.500,-20.020,-172.852,0.000,0
1641445063.472,-225.098,-85.938,-40.527,-238.281,0.000,0
1641445063.477,-37.598,-39.551,18.555,-62.012,0.000,0
1641445063.481,72.754,0.000,69.824,81.055,0.000,0
1641445063.492,-124.512,-53.223,4.883,-115.723,0.000,0
1641445063.497,-229.980,-86.426,-46.875,-240.234,0.000,0
1641445063.502,-87.891,-53.223,-0.977,-112.793,0.000,0
1641445063.507,85.449,-7.812,64.941,67.383,0.000,0
1641445063.512,-56.152,-33.691,22.461,-50.781,0.000,0
1641445063.517,-236.816,-81.543,-46.875,-230.469,0.000,0
1641445063.522,-156.250,-63.965,-25.879,-165.039,0.000,0
1641445063.527,40.527,-7.324,52.246,33.691,0.000,0
1641445063.532,-2.441,-12.207,43.945,3.418,0.000,0
1641445063.537,-205.566,-70.801,-28.320,-205.078,0.000,0
1641445063.542,-208.984,-79.102,-30.273,-216.797,0.000,0
1641445063.547,-3.418,-35.156,23.438,-0.488,0.000,0
1641445063.551,53.223,-10.742,50.781,70.312,0.000,0
1641445063.556,-167.480,-55.176,-7.324,-170.410,0.000,0
1641445063.560,-219.238,-76.172,-37.109,-251.465,0.000,0
1641445063.565,-32.227,-35.645,12.695,-77.148,0.000,0
1641445063.570,87.402,-2.930,57.617,70.312,0.000,0
1641445063.575,-110.352,-46.875,4.883,-108.887,0.000,0
1641445063.580,-232.422,-79.102,-41.504,-246.094,0.000,0
1641445063.585,-104.004,-52.246,-12.207,-129.883,0.000,0
1641445063.590,69.824,-3.418,51.758,65.430,0.000,0
1641445063.595,-58.105,-26.367,24.414,-44.922,0.000,0
1641445063.600,-238.770,-79.590,-36.621,-242.676,0.000,0
1641445063.605,-173.340,-73.730,-23.438,-185.059,0.000,0
1641445063.604,41.992,-15.625,39.551,33.691,0.000,0
1641445063.609,13.672,-19.531,34.668,25.879,0.000,0
1641445063.614,-205.078,-87.402,-34.180,-208.984,0.000,0
1641445063.619,-212.402,-90.820,-37.598,-231.445,0.000,0
1641445063.624,-20.996,-28.809,31.738,-24.414,0.000,0
1641445063.629,48.340,0.488,62.012,54.199,0.000,0
1641445063.633,-154.297,-68.359,-18.066,-155.762,0.000,0
1641445063.638,-231.934,-95.703,-51.270,-247.559,0.000,0
1641445063.643,-66.895,-37.598,8.301,-88.379,0.000,0
1641445063.648,77.148,4.883,69.824,94.238,0.000,0
1641445063.653,-100.586,-37.109,26.855,-72.754,0.000,0
1641445063.658,-236.328,-77.637,-28.320,-240.723,0.000,0
1641445063.653,-110.840,-52.734,-6.348,-129.395,0.000,0
1641445063.657,104.980,9.766,63.477,105.469,0.000,0
1641445063.662,-7.324,-12.695,47.363,20.508,0.000,0
1641445063.667,-235.840,-82.031,-27.832,-224.609,0.000,0
1641445063.672,-165.527,-72.754,-21.973,-170.898,0.000,0
1641445063.677,62.988,-11.230,44.434,62.500,0.000,0
1641445063.682,28.809,-12.207,51.270,46.387,0.000,0
