timestamps,TP9,AF7,AF8,TP10,Right AUX
1639814237.856,-679.199,-13.672,-27.832,33.691,0.000,0
1639814237.861,-474.121,-20.996,-48.340,-29.297,0.000,0
1639814237.867,-1000.000,-22.461,-29.297,-43.945,0.000,0
1639814237.872,-980.469,-26.855,-22.461,-15.137,0.000,0
1639814237.877,-1000.000,-47.852,-55.176,18.555,0.000,0
1639814237.882,-758.789,-33.691,-53.711,36.621,0.000,0
1639814237.887,-468.262,-23.926,-58.105,-33.691,0.000,0
1639814237.892,-990.723,-35.156,-56.152,-73.730,0.000,0
1639814237.897,-966.797,-16.113,-30.762,-27.832,0.000,0
1639814237.903,-1000.000,-2.930,-25.391,12.695,0.000,0
1639814237.908,-645.020,1.465,-25.391,25.391,0.000,0
1639814237.913,104.492,-9.766,-55.176,8.789,0.000,0
1639814237.920,-839.355,-35.156,-69.336,-34.668,0.000,0
1639814237.925,-1000.000,-24.902,-42.480,-14.160,0.000,0
1639814237.931,-1000.000,-6.348,-23.926,26.367,0.000,0
1639814237.936,-710.938,-10.254,-20.020,23.438,0.000,0
1639814237.941,529.297,-20.020,-44.434,-4.395,0.000,0
1639814237.946,-439.453,-23.438,-62.500,-59.570,0.000,0
1639814237.951,-1000.000,-19.531,-39.551,-56.152,0.000,0
1639814237.956,-1000.000,-14.648,-33.691,-6.348,0.000,0
1639814237.962,-633.789,-1.953,-38.086,8.789,0.000,0
1639814237.967,873.047,1.465,-42.969,-3.418,0.000,0
1639814237.972,-69.824,-32.715,-54.199,-63.477,0.000,0
1639814237.977,-1000.000,-40.039,-43.945,-43.945,0.000,0
1639814237.978,-1000.000,-15.625,-20.020,6.348,0.000,0
1639814237.984,-690.918,-3.906,-8.789,7.324,0.000,0
1639814237.989,843.750,0.488,-21.484,12.207,0.000,0
1639814237.994,126.465,-25.879,-52.734,-41.016,0.000,0
1639814237.999,-1000.000,-34.668,-44.434,-32.715,0.000,0
1639814238.004,-987.305,-20.508,-29.785,30.273,0.000,0
1639814238.009,-937.988,-10.254,-33.691,34.668,0.000,0
1639814238.014,529.297,1.465,-42.969,42.480,0.000,0
1639814238.019,256.836,-8.789,-57.129,-27.344,0.000,0
1639814238.025,-1000.000,-25.879,-45.410,-76.172,0.000,0
1639814238.030,-964.844,-8.789,-2.441,-8.789,0.000,1
1639814238.035,-1000.000,-4.395,-2.441,39.062,0.000,0
1639814238.031,285.645,-17.578,-35.645,28.809,0.000,0
1639814238.036,302.734,-33.203,-58.594,-27.832,0.000,0
1639814238.041,-1000.000,-35.645,-50.293,-40.039,0.000,0
1639814238.046,-968.750,-22.461,-15.137,7.812,0.000,0
1639814238.051,-1000.000,-24.902,-9.277,10.254,0.000,0
