timestamps,TP9,AF7,AF8,TP10,Right AUX
1644802338.165,-75.684,-34.180,-41.504,-32.227,0.000,0
1644802338.171,-103.027,-41.016,-41.016,-41.992,0.000,0
1644802338.177,-93.750,-42.480,-40.039,-58.594,0.000,0
1644802338.183,-63.477,-39.551,-38.086,-55.664,0.000,0
1644802338.189,-40.039,-36.133,-37.109,-23.438,0.000,0
1644802338.195,-52.734,-33.691,-33.691,-29.785,0.000,0
1644802338.201,-85.449,-36.133,-32.227,-54.199,0.000,0
1644802338.207,-90.332,-39.551,-28.320,-57.617,0.000,0
1644802338.213,-65.430,-31.738,-21.484,-58.594,0.000,0
1644802338.219,-39.062,-30.762,-20.508,-50.781,0.000,0
1644802338.225,-36.133,-32.227,-24.414,-38.086,0.000,0
1644802338.231,-67.871,-32.227,-28.320,-26.367,0.000,0
1644802338.231,-88.379,-40.039,-30.762,-33.203,0.000,0
1644802338.237,-73.242,-37.598,-27.344,-52.734,0.000,0
1644802338.243,-61.035,-31.250,-24.902,-52.246,0.000,0
1644802338.248,-58.594,-34.180,-33.691,-46.387,0.000,0
1644802338.254,-70.312,-38.086,-33.203,-36.621,0.000,0
1644802338.260,-87.891,-44.922,-33.691,-41.992,0.000,0
1644802338.266,-74.219,-41.992,-43.945,-59.082,0.000,0
1644802338.272,-51.758,-30.762,-39.551,-52.734,0.000,0
1644802338.278,-62.012,-26.367,-40.527,-47.852,0.000,0
1644802338.284,-81.543,-29.297,-49.316,-44.922,0.000,0
1644802338.289,-88.867,-39.062,-54.688,-52.246,0.000,0
1644802338.295,-70.801,-38.574,-51.758,-66.895,0.000,0
1644802338.290,-55.176,-30.273,-37.109,-73.730,0.000,0
1644802338.295,-60.547,-34.668,-36.621,-59.570,0.000,0
1644802338.301,-72.754,-29.785,-40.527,-39.062,0.000,0
1644802338.307,-88.867,-29.297,-37.598,-35.156,0.000,0
1644802338.313,-74.219,-35.156,-39.551,-42.969,0.000,0
1644802338.319,-53.223,-34.180,-36.133,-44.434,0.000,0
1644802338.324,-53.711,-34.180,-32.227,-40.527,0.000,0
1644802338.330,-62.988,-37.598,-35.156,-43.945,0.000,0
1644802338.336,-86.914,-41.504,-35.645,-52.734,0.000,0
1644802338.342,-87.402,-40.527,-32.715,-59.570,0.000,0
1644802338.347,-66.895,-31.738,-33.203,-59.082,0.000,0
1644802338.353,-51.758,-29.297,-30.273,-58.105,0.000,0
1644802338.348,-62.988,-38.574,-30.762,-48.828,0.000,0
1644802338.354,-97.656,-46.387,-36.621,-44.434,0.000,0
1644802338.359,-94.727,-41.992,-37.598,-46.875,0.000,0
1644802338.365,-73.730,-33.691,-31.738,-41.504,0.000,0
1644802338.371,-66.406,-35.156,-25.879,-36.133,0.000,0
1644802338.376,-64.453,-36.621,-24.414,-41.992,0.000,0
1644802338.382,-82.031,-40.527,-29.785,-39.551,0.000,0
1644802338.388,-88.867,-41.504,-35.645,-40.039,0.000,0
1644802338.393,-72.266,-29.785,-29.297,-56.152,0.000,0
1644802338.399,-61.523,-23.438,-24.414,-55.176,0.000,0
1644802338.405,-67.871,-30.762,-28.320,-45.898,0.000,0
1644802338.410,-95.215,-36.621,-40.039,-51.758,0.000,0
1644802338.401,-98.145,-38.574,-45.898,-61.523,0.000,0
1644802338.407,-63.965,-37.109,-35.156,-48.828,0.000,0
1644802338.412,-55.664,-31.250,-35.156,-54.688,0.000,0
1644802338.418,-69.824,-28.320,-45.410,-67.871,0.000,0
1644802338.423,-82.031,-29.785,-51.270,-56.641,0.000,0
1644802338.429,-98.145,-35.156,-53.711,-62.012,0.000,0
1644802338.434,-77.637,-30.762,-44.922,-73.730,0.000,0
1644802338.440,-44.922,-22.461,-38.086,-61.523,0.000,0
1644802338.446,-47.852,-23.438,-37.109,-46.875,0.000,0
1644802338.451,-70.801,-26.367,-30.762,-45.898,0.000,1
1644802338.457,-83.984,-32.227,-32.227,-49.316,0.000,0
1644802338.462,-68.359,-32.227,-33.691,-53.711,0.000,0
1644802338.454,-56.641,-25.391,-34.180,-48.340,0.000,0
1644802338.460,-59.570,-34.180,-39.551,-21.484,0.000,0
1644802338.465,-71.777,-42.969,-37.109,-13.672,0.000,0
1644802338.471,-96.191,-37.109,-36.133,-40.039,0.000,0
1644802338.476,-91.309,-38.574,-31.738,-55.664,0.000,0
1644802338.482,-61.523,-37.598,-26.367,-44.922,0.000,0
1644802338.487,-51.758,-30.762,-33.691,-42.480,0.000,0
1644802338.493,-64.453,-31.250,-34.180,-38.574,0.000,0
1644802338.498,-82.520,-33.203,-33.203,-35.156,0.000,0
1644802338.504,-73.730,-32.227,-34.180,-59.570,0.000,0
1644802338.509,-49.316,-30.273,-31.738,-63.477,0.000,0
1644802338.515,-48.340,-28.320,-29.297,-37.598,0.000,0
1644802338.503,-57.129,-26.367,-30.273,-28.809,0.000,0
1644802338.508,-74.219,-27.832,-36.133,-33.691,0.000,0
1644802338.514,-74.219,-28.809,-41.016,-43.457,0.000,0
1644802338.519,-54.199,-26.855,-37.598,-48.340,0.000,0
1644802338.524,-48.828,-23.438,-38.086,-40.039,0.000,0
1644802338.530,-55.176,-24.414,-41.992,-38.086,0.000,0
1644802338.535,-72.754,-34.668,-39.551,-38.574,0.000,0
1644802338.541,-80.078,-37.109,-34.180,-43.457,0.000,0
1644802338.546,-64.941,-29.785,-30.273,-49.805,0.000,0
1644802338.551,-45.898,-35.156,-27.832,-25.879,0.000,0
1644802338.557,-50.293,-32.715,-27.344,-20.996,0.000,0
1644802338.562,-71.777,-28.809,-35.156,-43.457,0.000,0
1644802338.552,-75.195,-31.250,-34.180,-51.270,0.000,0
1644802338.558,-53.711,-28.809,-31.250,-50.781,0.000,0
1644802338.563,-47.363,-27.344,-32.715,-42.480,0.000,0
1644802338.568,-63.477,-23.926,-34.180,-32.227,0.000,0
1644802338.574,-74.219,-26.855,-36.133,-34.668,0.000,0
1644802338.579,-77.148,-37.598,-36.133,-51.270,0.000,0
1644802338.584,-61.523,-39.062,-36.621,-62.500,0.000,0
1644802338.590,-45.898,-29.297,-32.715,-49.805,0.000,0
1644802338.595,-61.035,-22.949,-27.344,-41.016,0.000,0
1644802338.600,-78.613,-31.250,-33.691,-46.875,0.000,0
1644802338.605,-77.148,-45.410,-39.062,-48.828,0.000,0
1644802338.611,-57.129,-45.898,-40.039,-44.434,0.000,0
1644802338.598,-40.039,-34.180,-38.086,-31.738,0.000,0
1644802338.603,-42.480,-33.203,-38.574,-29.785,0.000,0
1644802338.608,-57.129,-39.551,-41.016,-35.645,0.000,0
1644802338.614,-76.660,-34.668,-42.969,-52.734,0.000,0
1644802338.619,-59.570,-35.645,-40.527,-43.945,0.000,0
1644802338.624,-41.016,-32.227,-32.715,-36.133,0.000,0
1644802338.629,-54.688,-26.367,-37.109,-44.922,0.000,0
1644802338.634,-72.754,-34.668,-51.270,-36.133,0.000,0
1644802338.640,-85.449,-41.992,-49.316,-40.039,0.000,0
1644802338.645,-77.148,-37.598,-38.574,-60.059,0.000,0
1644802338.650,-57.617,-30.762,-34.668,-60.547,0.000,0
1644802338.655,-56.152,-27.832,-38.086,-51.270,0.000,0
1644802338.640,-62.500,-28.809,-45.898,-40.039,0.000,0
1644802338.645,-78.125,-33.203,-44.922,-40.527,0.000,0
1644802338.650,-77.148,-32.715,-36.133,-52.246,0.000,0
1644802338.656,-48.828,-31.738,-32.227,-50.781,0.000,0
1644802338.661,-50.781,-29.297,-32.227,-31.250,0.000,0
1644802338.666,-57.129,-27.832,-30.273,-22.949,0.000,0
1644802338.671,-70.801,-30.762,-30.762,-38.574,0.000,0
1644802338.676,-83.984,-27.344,-30.273,-51.270,0.000,0
1644802338.681,-64.941,-22.461,-26.367,-53.223,0.000,0
1644802338.686,-54.199,-27.344,-30.762,-52.734,0.000,0
1644802338.691,-60.547,-33.691,-30.762,-43.457,0.000,0
1644802338.696,-69.336,-31.738,-23.438,-39.062,0.000,0
1644802338.684,-68.359,-26.367,-27.832,-47.363,0.000,0
1644802338.689,-58.594,-28.320,-28.320,-51.758,0.000,0
1644802338.694,-55.664,-32.715,-23.438,-45.898,0.000,0
1644802338.699,-58.105,-36.621,-27.832,-30.762,0.000,0
1644802338.704,-74.707,-39.551,-33.203,-30.762,0.000,0
1644802338.709,-83.984,-28.320,-37.598,-58.594,0.000,0
1644802338.714,-59.082,-19.531,-36.133,-61.523,0.000,0
1644802338.719,-40.039,-22.949,-23.438,-34.668,0.000,0
1644802338.724,-61.523,-24.414,-18.066,-27.344,0.000,0
1644802338.729,-90.332,-24.414,-20.508,-45.410,0.000,0
1644802338.734,-83.496,-31.738,-22.461,-48.340,0.000,0
1644802338.739,-50.781,-34.668,-16.602,-32.715,0.000,0
1644802338.724,-37.598,-20.020,-11.719,-33.691,0.000,0
1644802338.729,-51.758,-18.066,-22.949,-54.199,0.000,0
1644802338.734,-67.383,-30.273,-29.297,-43.457,0.000,0
1644802338.739,-78.125,-35.156,-24.414,-30.762,0.000,0
1644802338.744,-59.082,-29.297,-21.973,-41.992,0.000,0
1644802338.749,-45.410,-35.156,-21.973,-34.180,0.000,0
1644802338.754,-49.805,-38.574,-19.531,-23.926,0.000,0
1644802338.759,-66.406,-27.344,-20.508,-36.621,0.000,0
1644802338.764,-88.379,-18.066,-18.066,-52.734,0.000,0
1644802338.769,-66.895,-14.160,-17.578,-47.852,0.000,0
