timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1644798352.854,-115.723,-1000.000,-70.801,-65.918,0.000,0
1644798352.859,-114.746,-721.191,-50.293,-85.449,0.000,0
1644798352.865,-105.957,346.680,-43.457,-82.031,0.000,0
1644798352.870,-104.492,480.957,-60.547,-64.453,0.000,0
1644798352.876,-112.305,-615.723,-77.637,-47.852,0.000,0
1644798352.881,-114.746,-1000.000,-72.754,-59.082,0.000,0
1644798352.887,-125.977,-869.629,-52.246,-105.957,0.000,0
1644798352.892,-128.906,-170.898,-41.992,-110.352,0.000,0
1644798352.898,-133.789,418.457,-47.852,-91.309,0.000,0
1644798352.903,-149.414,-170.898,-62.988,-65.430,0.000,0
1644798352.908,-155.273,-971.191,-72.754,-66.895,0.000,0
1644798352.914,-168.457,-795.898,-54.688,-101.562,0.000,0
1644798352.917,-177.734,97.656,-43.457,-102.539,0.000,0
1644798352.922,-167.480,524.414,-61.523,-73.242,0.000,0
1644798352.928,-157.715,-65.918,-73.730,-62.988,0.000,0
1644798352.933,-165.039,-884.277,-76.660,-69.824,0.000,0
1644798352.939,-181.152,-918.457,-57.617,-99.121,0.000,0
1644798352.944,-170.898,-195.801,-36.621,-110.840,0.000,0
1644798352.949,-157.227,286.133,-48.828,-101.074,0.000,0
1644798352.955,-163.574,-157.715,-68.848,-74.707,0.000,0
1644798352.960,-172.363,-818.359,-71.777,-58.594,0.000,0
1644798352.966,-171.875,-1000.000,-55.664,-92.773,0.000,0
1644798352.971,-166.016,-96.680,-29.297,-105.469,0.000,0
1644798352.977,-146.484,137.695,-47.852,-65.918,0.000,0
1644798352.974,-145.996,-706.055,-63.965,-57.129,0.000,0
1644798352.979,-166.504,-870.117,-60.547,-61.523,0.000,0
1644798352.984,-169.922,-997.070,-55.664,-84.473,0.000,0
1644798352.990,-176.270,-452.637,-41.016,-118.164,0.000,0
1644798352.995,-172.363,420.898,-48.340,-91.797,0.000,0
1644798353.000,-157.227,93.750,-63.477,-69.824,0.000,0
1644798353.006,-153.320,-784.180,-69.336,-62.988,0.000,0
1644798353.011,-172.363,-1000.000,-57.617,-71.777,0.000,0
1644798353.017,-181.641,-450.195,-31.250,-89.355,0.000,0
1644798353.022,-166.992,607.422,-38.574,-82.031,0.000,0
1644798353.027,-156.250,488.281,-63.477,-62.012,0.000,0
1644798353.033,-156.738,-468.750,-68.848,-49.805,0.000,0
1644798353.025,-162.109,-1000.000,-68.359,-91.309,0.000,0
1644798353.030,-170.410,-538.574,-53.223,-116.699,0.000,0
1644798353.035,-163.086,586.914,-44.922,-88.379,0.000,0
1644798353.041,-140.137,619.629,-59.082,-75.684,0.000,0
1644798353.046,-138.184,-406.738,-74.707,-65.918,0.000,0
1644798353.051,-161.621,-972.168,-69.336,-65.430,0.000,0
1644798353.057,-167.480,-1000.000,-63.965,-90.820,0.000,0
1644798353.062,-147.461,-590.820,-48.828,-92.285,0.000,0
1644798353.067,-149.414,250.488,-42.480,-91.309,0.000,0
1644798353.072,-148.438,-285.645,-58.594,-73.730,0.000,0
1644798353.078,-146.973,-1000.000,-58.105,-76.172,0.000,0
1644798353.083,-152.832,-724.121,-51.270,-114.746,0.000,0
1644798353.072,-147.949,347.656,-41.016,-107.910,0.000,0
1644798353.077,-133.301,726.074,-39.062,-78.613,0.000,0
1644798353.082,-129.395,-89.844,-54.688,-57.617,0.000,0
1644798353.087,-144.531,-941.895,-62.012,-62.500,0.000,0
1644798353.092,-145.996,-796.387,-43.945,-103.027,0.000,0
1644798353.097,-142.578,56.641,-35.645,-106.445,0.000,0
1644798353.103,-138.672,338.867,-49.805,-71.289,0.000,0
1644798353.108,-123.047,-375.488,-55.664,-53.223,0.000,0
1644798353.113,-134.766,-975.586,-59.570,-60.547,0.000,0
1644798353.118,-152.832,-951.172,-53.223,-100.586,0.000,0
1644798353.123,-141.602,-172.363,-38.086,-120.605,0.000,0
1644798353.128,-134.277,630.859,-41.992,-93.262,0.000,0
1644798353.114,-135.254,145.508,-52.734,-65.430,0.000,0
1644798353.119,-135.742,-757.324,-67.871,-44.434,0.000,0
1644798353.124,-135.742,-1000.000,-62.988,-67.383,0.000,0
1644798353.129,-139.160,-271.484,-36.133,-108.398,0.000,0
1644798353.134,-124.512,651.855,-38.086,-88.867,0.000,0
1644798353.139,-120.117,29.297,-50.781,-56.641,0.000,0
1644798353.144,-144.531,-903.320,-60.059,-45.410,0.000,0
1644798353.149,-139.160,-982.422,-54.199,-71.289,0.000,0
1644798353.154,-128.906,-166.504,-36.133,-97.168,0.000,0
1644798353.159,-116.699,774.414,-37.598,-85.938,0.000,0
1644798353.164,-108.887,402.832,-57.617,-64.453,0.000,0
1644798353.169,-119.629,-612.305,-63.965,-49.805,0.000,0
1644798353.153,-130.371,-1000.000,-57.617,-66.895,0.000,0
1644798353.158,-137.695,-509.277,-43.945,-105.469,0.000,0
1644798353.163,-127.441,570.312,-35.156,-102.051,0.000,0
1644798353.168,-115.234,491.211,-53.711,-83.984,0.000,0
1644798353.173,-117.676,-488.770,-66.895,-73.242,0.000,0
1644798353.178,-134.277,-1000.000,-64.941,-75.195,0.000,0
1644798353.182,-144.531,-721.680,-50.293,-104.004,0.000,0
