timestamps,TP9,AF7,AF8,TP10,Right AUX
1641445404.733,0.000,0.000,0.000,0.000,0.000
1641445404.737,0.000,0.000,-0.977,0.000,0.000
1641445404.740,-1.465,-0.977,4.883,-1.465,0.000
1641445404.744,1.465,0.977,-16.602,1.953,0.000
1641445404.748,-11.719,-7.812,53.711,-8.789,0.000
1641445404.752,-37.109,-29.297,59.082,-32.227,0.000
1641445404.756,-43.945,-34.180,-58.105,-24.414,0.000
1641445404.760,-32.227,-34.668,-42.969,-8.789,0.000
1641445404.764,-31.738,-32.715,-32.715,-18.555,0.000
1641445404.767,-44.434,-22.461,-39.551,-26.367,0.000
1641445404.771,-41.992,-16.602,-42.480,-24.414,0.000
1641445404.775,-29.297,-15.137,-36.133,-20.020,0.000
1641445404.779,-27.832,-20.508,-35.156,-13.672,0.000,0
1641445404.783,-35.645,-20.996,-42.480,-13.672,0.000,0
1641445404.786,-42.969,-19.531,-41.504,-20.020,0.000,0
1641445404.790,-39.062,-26.855,-40.527,-9.277,0.000,0
1641445404.794,-24.902,-26.855,-40.527,9.766,0.000,0
1641445404.798,-33.691,-20.020,-41.504,-5.859,0.000,0
1641445404.802,-37.109,-16.113,-41.992,-20.508,0.000,0
1641445404.806,-29.297,-14.648,-38.086,-12.695,0.000,0
1641445404.809,-22.461,-16.602,-38.086,-7.324,0.000,0
1641445404.813,-35.156,-14.648,-34.668,-10.254,0.000,0
1641445404.817,-34.668,-13.184,-29.297,-23.926,0.000,0
1641445404.821,-29.297,-18.555,-33.203,-11.719,0.000,0
1641445404.826,-32.715,-16.113,-33.691,5.859,0.000,0
1641445404.830,-33.203,-10.742,-33.691,-12.695,0.000,0
1641445404.834,-33.203,-11.719,-30.762,-17.578,0.000,0
1641445404.837,-21.484,-13.672,-31.250,-18.555,0.000,0
1641445404.841,-24.414,-20.020,-36.133,-8.301,0.000,0
1641445404.845,-29.297,-23.438,-31.738,1.953,0.000,0
1641445404.849,-32.715,-21.973,-33.203,-18.066,0.000,0
1641445404.853,-34.180,-17.090,-32.715,-25.391,0.000,0
1641445404.857,-31.738,-11.230,-28.809,-18.555,0.000,0
1641445404.861,-27.832,-18.066,-36.133,-14.160,0.000,0
1641445404.865,-34.180,-20.020,-34.668,-22.461,0.000,0
1641445404.868,-44.922,-15.137,-26.367,-18.555,0.000,0
1641445404.877,-39.062,-18.555,-30.273,-12.695,0.000,0
1641445404.881,-29.785,-24.902,-38.086,-18.066,0.000,0
1641445404.885,-33.691,-23.438,-41.016,-26.855,0.000,0
1641445404.889,-46.387,-19.531,-41.016,-28.809,0.000,0
1641445404.893,-47.363,-20.996,-41.504,-24.902,0.000,0
1641445404.897,-27.344,-19.531,-44.434,-31.738,0.000,0
1641445404.901,-27.832,-21.484,-45.410,-28.320,0.000,0
1641445404.905,-34.180,-19.531,-41.016,-19.043,0.000,0
1641445404.909,-34.668,-8.301,-36.133,-20.020,0.000,0
1641445404.913,-29.297,-9.277,-32.227,-16.113,0.000,0
1641445404.917,-22.949,-15.137,-33.691,-10.254,0.000,0
1641445404.921,-31.250,-14.648,-36.133,-18.066,0.000,0
1641445404.933,-30.273,-18.555,-37.598,-27.344,0.000,0
1641445404.937,-13.672,-21.484,-33.691,-19.043,0.000,0
1641445404.942,-12.207,-19.043,-32.715,-8.789,0.000,0
1641445404.946,-39.062,-23.926,-40.039,-22.461,0.000,0
1641445404.950,-49.805,-30.762,-44.434,-33.203,0.000,0
1641445404.954,-38.574,-24.902,-47.363,-29.785,0.000,0
1641445404.958,-21.973,-17.578,-46.387,-14.648,0.000,0
1641445404.962,-23.926,-20.020,-43.457,-19.531,0.000,0
1641445404.967,-39.062,-18.066,-41.016,-31.250,0.000,0
1641445404.971,-30.762,-15.137,-39.551,-24.414,0.000,0
1641445404.975,-16.602,-16.602,-43.457,-15.625,0.000,0
1641445404.979,-20.508,-20.508,-46.387,-6.348,0.000,0
1641445404.994,-30.762,-20.020,-41.992,-16.602,0.000,0
1641445404.998,-34.668,-26.855,-43.457,-16.602,0.000,0
1641445405.003,-25.391,-28.809,-45.410,1.953,0.000,0
1641445405.007,-18.555,-21.484,-38.086,-12.207,0.000,0
1641445405.011,-27.344,-19.531,-32.227,-23.926,0.000,0
1641445405.016,-27.344,-17.090,-35.156,-18.066,0.000,0
1641445405.020,-23.926,-13.672,-35.645,-16.602,0.000,0
1641445405.025,-8.301,-14.648,-33.203,1.465,0.000,0
1641445405.029,-11.230,-14.160,-31.738,-6.348,0.000,0
1641445405.033,-35.645,-11.230,-31.738,-26.855,0.000,0
1641445405.038,-31.250,-14.648,-29.297,-19.531,0.000,0
1641445405.042,-15.625,-12.695,-27.832,-6.836,0.000,0
1641445405.058,-18.555,-13.184,-29.785,-10.254,0.000,0
1641445405.063,-30.273,-20.508,-26.367,-15.137,0.000,0
1641445405.068,-33.691,-18.555,-29.297,-20.508,0.000,0
1641445405.072,-25.879,-16.602,-35.645,-25.391,0.000,0
1641445405.077,-14.648,-18.066,-33.203,-9.766,0.000,0
1641445405.081,-24.902,-16.602,-35.156,-9.766,0.000,0
1641445405.086,-36.133,-22.461,-37.109,-21.484,0.000,0
1641445405.090,-31.250,-27.832,-34.668,-29.297,0.000,0
1641445405.095,-24.902,-27.344,-34.668,-15.137,0.000,0
1641445405.099,-22.461,-28.809,-38.086,-9.766,0.000,0
1641445405.104,-33.203,-20.020,-36.133,-17.578,0.000,0
1641445405.108,-33.691,-8.789,-31.250,-11.230,0.000,0
1641445405.126,-26.367,-13.672,-39.551,-11.230,0.000,0
1641445405.130,-32.227,-16.113,-37.109,-14.160,0.000,0
1641445405.135,-32.227,-15.137,-29.785,-21.484,0.000,0
1641445405.140,-32.715,-15.625,-36.133,-21.973,0.000,0
1641445405.144,-29.297,-20.020,-43.457,-20.508,0.000,0
1641445405.149,-24.902,-25.391,-43.457,-26.367,0.000,0
1641445405.154,-36.621,-23.438,-38.574,-26.367,0.000,0
1641445405.158,-44.434,-19.531,-28.809,-21.973,0.000,0
1641445405.163,-24.902,-17.090,-25.879,-12.207,0.000,0
1641445405.168,-12.695,-17.578,-32.227,-5.859,0.000,0
1641445405.172,-28.809,-16.113,-31.250,-21.973,0.000,0
1641445405.177,-33.691,-15.625,-23.438,-25.391,0.000,0
1641445405.195,-31.738,-18.066,-22.461,-15.137,0.000,0
1641445405.200,-29.785,-15.137,-30.762,-20.996,0.000,0
1641445405.205,-35.156,-11.230,-32.227,-24.414,0.000,0
1641445405.209,-37.598,-17.090,-30.762,-32.715,0.000,0
1641445405.214,-28.809,-31.250,-37.598,-13.672,0.000,0
1641445405.219,-26.367,-28.320,-37.109,12.207,0.000,0
1641445405.224,-33.691,-20.020,-30.273,-4.395,0.000,0
1641445405.229,-35.645,-19.531,-23.438,-10.254,0.000,0
1641445405.233,-24.902,-19.531,-16.602,-16.113,0.000,0
1641445405.238,-16.602,-19.043,-19.531,-17.578,0.000,0
1641445405.243,-23.926,-17.578,-23.438,-11.719,0.000,0
1641445405.248,-32.715,-14.160,-24.414,-19.531,0.000,0
1641445405.258,-26.855,-14.160,-29.297,-17.578,0.000,0
1641445405.263,-11.719,-13.184,-27.832,-12.695,0.000,0
1641445405.268,-9.766,-20.020,-30.762,-13.672,0.000,0
1641445405.273,-21.484,-28.809,-37.109,-19.531,0.000,0
1641445405.278,-29.785,-28.809,-34.668,-21.973,0.000,0
1641445405.282,-24.902,-25.879,-38.574,-15.137,0.000,0
1641445405.287,-24.902,-27.344,-39.062,-1.953,0.000,0
1641445405.292,-35.156,-26.855,-32.227,-13.184,0.000,0
