timestamps,TP9,AF7,AF8,TP10,Right AUX
1637814692.828,-803.223,-1000.000,-997.559,620.605,0.000,0
1637814692.833,778.320,536.621,-98.145,-924.316,0.000,0
1637814692.838,-994.629,-964.355,628.906,-1000.000,0.000,0
1637814692.844,-985.840,-976.074,385.742,-976.074,0.000,0
1637814692.849,-249.512,-94.727,-571.289,417.969,0.000,0
1637814692.854,-1000.000,-1000.000,-1000.000,909.668,0.000,0
1637814692.859,479.980,234.375,-353.516,-676.758,0.000,0
1637814692.864,-959.473,-948.242,448.242,-1000.000,0.000,0
1637814692.869,-966.797,-955.078,484.863,-1000.000,0.000,0
1637814692.877,-5.371,120.605,-449.219,85.449,0.000,0
1637814692.882,-1000.000,-1000.000,-1000.000,-883.301,0.000,0
1637814692.887,123.047,-31.738,-484.375,-333.008,0.000,0
1637814692.892,-893.066,-910.156,407.227,-1000.000,0.000,0
1637814692.897,900.879,914.551,478.027,-934.082,0.000,0
1637814692.902,-119.629,-49.805,-475.586,146.484,0.000,0
1637814692.908,-1000.000,-1000.000,-1000.000,-848.633,0.000,0
1637814692.913,-85.449,-185.547,-590.820,-134.277,0.000,0
1637814692.918,-987.305,995.117,290.039,-1000.000,0.000,0
1637814692.923,-931.152,-919.434,606.934,-1000.000,0.000,0
1637814692.928,230.469,223.633,-210.938,-268.066,0.000,0
1637814692.933,-1000.000,-1000.000,-1000.000,-835.938,0.000,0
1637814692.935,-218.750,-215.820,-740.723,83.496,0.000,0
1637814692.940,-963.379,-964.844,182.617,-1000.000,0.000,0
1637814692.945,983.398,982.910,557.129,-1000.000,0.000,0
1637814692.950,22.949,72.754,-251.953,-64.453,0.000,0
1637814692.955,-1000.000,-1000.000,-1000.000,-901.855,0.000,0
1637814692.960,-107.910,-153.809,-759.277,78.613,0.000,0
1637814692.966,978.516,964.844,107.910,-1000.000,0.000,0
1637814692.971,-918.945,-926.270,659.668,-1000.000,0.000,0
1637814692.976,343.750,468.262,-25.879,-288.574,0.000,0
1637814692.981,-1000.000,-1000.000,-1000.000,-840.332,0.000,0
1637814692.986,-243.164,-429.688,-833.008,165.527,0.000,0
1637814692.991,988.281,936.523,6.836,-1000.000,0.000,0
1637814692.987,-937.988,-942.871,624.023,-1000.000,0.000,0
1637814692.992,549.805,674.316,64.941,-458.496,0.000,0
1637814692.998,-1000.000,-905.762,-1000.000,-903.320,0.000,0
1637814693.003,-443.848,-652.344,-899.414,288.086,0.000,0
1637814693.008,953.125,863.770,-36.133,-1000.000,0.000,0
1637814693.013,-970.703,-974.121,626.953,-1000.000,0.000,0
1637814693.018,772.461,886.230,319.336,-637.207,0.000,0
1637814693.023,-797.852,-527.344,-708.984,978.516,0.000,0
1637814693.028,-677.734,-948.730,-981.445,516.602,0.000,0
1637814693.033,881.348,612.793,-207.031,-951.172,0.000,0
1637814693.038,-988.281,-966.797,528.809,-1000.000,0.000,0
1637814693.043,934.082,-996.094,345.703,-876.953,0.000,0
1637814693.035,-431.152,-168.457,-648.926,615.234,0.000,0
1637814693.040,-1000.000,-1000.000,-1000.000,802.734,0.000,0
1637814693.045,541.504,256.836,-340.332,-772.461,0.000,0
1637814693.050,-946.777,-926.758,458.008,-1000.000,0.000,0
1637814693.055,965.820,980.469,438.477,-992.676,0.000,0
1637814693.060,-174.805,-38.574,-514.648,278.320,0.000,0
1637814693.065,-1000.000,-1000.000,-1000.000,-933.594,0.000,0
1637814693.070,199.219,25.391,-422.363,-453.613,0.000,0
1637814693.075,-950.195,-965.820,376.465,-1000.000,0.000,0
1637814693.080,-952.148,-940.918,532.227,-1000.000,0.000,0
1637814693.085,130.371,213.379,-329.102,-54.688,0.000,0
1637814693.090,-1000.000,-1000.000,-1000.000,-817.383,0.000,0
1637814693.079,-8.789,-172.363,-572.266,-163.574,0.000,0
1637814693.084,-965.332,-993.164,364.258,-1000.000,0.000,0
1637814693.089,-933.105,-914.062,673.828,-1000.000,0.000,0
1637814693.094,217.285,206.543,-219.238,-250.977,0.000,0
1637814693.099,-1000.000,-1000.000,-1000.000,-887.695,0.000,0
1637814693.103,-115.723,-113.281,-631.836,-19.043,0.000,0
1637814693.108,991.211,989.258,246.582,-1000.000,0.000,0
1637814693.113,-918.457,-916.992,628.418,-1000.000,0.000,0
1637814693.118,225.098,262.695,-130.859,-266.113,0.000,0
1637814693.123,-1000.000,-1000.000,-1000.000,-827.637,0.000,0
1637814693.128,-198.730,-199.707,-762.207,170.410,0.000,0
1637814693.133,996.094,995.605,126.465,-1000.000,0.000,0
1637814693.119,-916.504,-929.688,658.203,-1000.000,0.000,0
1637814693.124,321.777,445.801,-24.414,-255.859,0.000,0
1637814693.129,-1000.000,-1000.000,-1000.000,-833.984,0.000,0
1637814693.134,-214.355,-374.023,-821.777,175.293,0.000,0
1637814693.138,-983.398,970.215,73.242,-1000.000,0.000,0
1637814693.143,-995.605,-978.516,625.977,-1000.000,0.000,0
1637814693.148,433.594,572.754,-0.977,-277.344,0.000,0
1637814693.153,-1000.000,-957.520,-1000.000,-921.387,0.000,0
1637814693.157,-437.012,-594.727,-848.145,286.621,0.000,0
1637814693.162,944.824,892.090,56.641,-1000.000,0.000,0
1637814693.167,-958.008,-965.820,621.582,-1000.000,0.000,0
