timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1634634569.469,-949.219,-958.984,192.871,-492.676,0.000,0
1634634569.474,225.098,-101.562,-337.891,878.906,0.000,0
1634634569.479,-1000.000,-1000.000,-1000.000,-880.859,0.000,0
1634634569.484,104.492,-172.363,-452.148,202.148,0.000,0
1634634569.489,-940.918,991.211,308.594,-1000.000,0.000,0
1634634569.494,-950.195,-923.340,292.480,-710.449,0.000,0
1634634569.499,274.414,90.332,-227.051,660.645,0.000,0
1634634569.504,-1000.000,-1000.000,-1000.000,-830.566,0.000,0
1634634569.509,-99.121,-185.059,-635.254,362.305,0.000,0
1634634569.514,-978.516,993.164,183.594,-1000.000,0.000,0
1634634569.524,-936.035,-922.852,410.645,-958.984,0.000,0
1634634569.529,433.105,231.934,-119.629,363.770,0.000,0
1634634569.534,-1000.000,-1000.000,-1000.000,-806.641,0.000,0
1634634569.539,-223.633,-366.699,-701.660,518.555,0.000,0
1634634569.544,-993.164,941.895,125.000,-854.980,0.000,0
1634634569.549,-943.359,-904.297,464.844,-1000.000,0.000,0
1634634569.554,599.609,221.680,-43.945,105.957,0.000,0
1634634569.559,-1000.000,-1000.000,-1000.000,-860.840,0.000,0
1634634569.564,-260.742,-540.039,-772.461,763.184,0.000,0
1634634569.569,-958.496,843.262,64.941,-554.199,0.000,0
1634634569.574,980.957,-868.652,435.547,-1000.000,0.000,0
1634634569.579,870.117,249.512,95.215,-38.086,0.000,0
1634634569.583,-709.961,-1000.000,-812.500,-943.359,0.000,0
1634634569.588,-420.898,-776.855,-893.555,968.262,0.000,0
1634634569.593,-956.055,586.914,-95.703,-235.352,0.000,0
1634634569.598,924.805,-822.266,412.109,-1000.000,0.000,0
1634634569.603,-922.363,400.879,64.453,-172.363,0.000,0
1634634569.608,-341.309,-962.891,-755.371,998.047,0.000,0
1634634569.613,-645.996,-1000.000,-975.586,-942.383,0.000,0
1634634569.618,964.355,276.367,-178.223,-33.691,0.000,0
1634634569.623,942.383,-813.477,401.855,-1000.000,0.000,0
1634634569.628,-901.367,577.148,83.984,-176.270,0.000,0
1634634569.633,-89.355,-786.133,-614.746,991.699,0.000,0
1634634569.638,-854.492,-1000.000,-1000.000,-919.434,0.000,0
1634634569.636,750.488,67.871,-252.930,133.301,0.000,0
1634634569.641,988.281,-879.395,411.621,-1000.000,0.000,0
1634634569.646,-919.922,813.477,140.137,-190.918,0.000,2
1634634569.651,184.082,-476.562,-484.863,996.094,0.000,0
1634634569.656,-1000.000,-1000.000,-1000.000,-925.293,0.000,0
1634634569.661,386.230,-96.191,-293.945,232.910,0.000,0
1634634569.666,-946.777,-967.773,481.445,-1000.000,0.000,0
1634634569.671,-947.754,-991.699,259.277,-399.414,0.000,0
1634634569.676,222.168,-164.062,-385.254,927.734,0.000,0
1634634569.681,-1000.000,-1000.000,-1000.000,-899.902,0.000,0
1634634569.686,123.535,-171.875,-425.293,218.750,0.000,0
1634634569.691,-937.988,994.629,303.711,-1000.000,0.000,0
1634634569.685,-948.730,-932.129,224.121,-575.684,0.000,0
1634634569.690,231.445,27.344,-271.973,816.406,0.000,0
1634634569.695,-1000.000,-1000.000,-1000.000,-858.887,0.000,0
1634634569.700,-37.109,-178.711,-588.867,283.203,0.000,0
1634634569.705,-970.703,989.746,210.938,-1000.000,0.000,0
1634634569.709,-941.406,-919.922,359.863,-848.145,0.000,0
1634634569.714,430.176,210.938,-151.855,503.418,0.000,0
1634634569.719,-1000.000,-1000.000,-1000.000,-812.012,0.000,0
1634634569.724,-222.168,-291.504,-666.016,436.523,0.000,0
1634634569.729,-994.141,970.703,166.992,-918.945,0.000,0
1634634569.734,-943.359,-915.039,424.316,-1000.000,0.000,0
1634634569.739,599.609,227.539,-94.238,172.363,0.000,0
1634634569.730,-1000.000,-1000.000,-1000.000,-824.219,0.000,0
1634634569.734,-258.789,-479.980,-720.703,652.832,0.000,0
1634634569.739,-968.750,885.254,125.000,-695.312,0.000,0
1634634569.744,-986.816,-883.301,449.707,-1000.000,0.000,0
1634634569.749,776.855,207.520,-44.434,6.348,0.000,0
1634634569.754,-836.426,-1000.000,-975.586,-912.598,0.000,0
1634634569.758,-302.246,-684.082,-835.938,896.973,0.000,0
1634634569.763,-930.664,692.871,-42.480,-352.539,0.000,0
1634634569.768,926.758,-835.938,417.480,-1000.000,0.000,0
1634634569.773,-968.262,336.914,13.672,-172.363,0.000,0
1634634569.777,-448.730,-1000.000,-824.707,-1000.000,0.000,0
1634634569.782,-544.922,-939.941,-940.430,-951.660,0.000,0
1634634569.771,-990.723,384.766,-159.180,-83.496,0.000,0
1634634569.775,931.152,-811.523,393.555,-1000.000,0.000,0
1634634569.780,-900.879,511.719,89.355,-202.148,0.000,0
1634634569.785,-210.449,-930.664,-731.445,-940.430,0.000,0
1634634569.789,-726.074,-975.586,-884.766,900.391,0.000,0
1634634569.794,904.785,395.996,35.156,-255.859,0.000,0
1634634569.799,958.984,-871.094,344.238,-1000.000,0.000,0
1634634569.803,-906.738,725.586,138.184,-177.246,0.000,0
1634634569.808,49.316,-583.008,-477.539,979.980,0.000,0
1634634569.813,-959.961,-1000.000,-1000.000,-922.852,0.000,0
1634634569.817,574.219,-43.457,-278.809,230.957,0.000,0
1634634569.822,-976.074,-940.918,395.996,-1000.000,0.000,0
1634634569.808,-938.965,958.496,193.848,-356.445,0.000,0
1634634569.813,215.332,-254.883,-349.609,945.801,0.000,0
1634634569.818,-1000.000,-1000.000,-1000.000,-906.250,0.000,0
1634634569.822,204.102,-171.387,-392.090,222.656,0.000,0
1634634569.827,-932.617,996.582,409.668,-1000.000,0.000,0
1634634569.831,-952.637,-940.918,323.242,-528.809,0.000,0
1634634569.836,231.445,-27.832,-286.133,851.562,0.000,0
1634634569.840,-1000.000,-1000.000,-1000.000,-871.582,0.000,0
1634634569.845,5.371,-174.316,-471.191,245.117,0.000,0
1634634569.850,-957.520,989.258,296.387,-1000.000,0.000,0
1634634569.854,-944.336,-918.457,273.926,-737.305,0.000,0
1634634569.859,336.914,172.852,-215.332,639.160,0.000,0
1634634569.844,-1000.000,-1000.000,-1000.000,-828.613,0.000,0
1634634569.848,-207.031,-230.469,-649.902,369.629,0.000,0
1634634569.852,998.047,987.305,107.422,-994.629,0.000,0
1634634569.857,-930.176,-921.387,365.723,-977.539,0.000,0
1634634569.861,511.230,230.957,-75.684,338.867,0.000,0
1634634569.866,-1000.000,-1000.000,-1000.000,-803.711,0.000,0
1634634569.870,-240.723,-422.852,-745.605,517.090,0.000,0
1634634569.875,-977.051,915.527,99.609,-853.027,0.000,0
1634634569.879,-978.027,-895.020,506.836,-1000.000,0.000,0
1634634569.884,738.770,215.820,-26.367,89.355,0.000,0
1634634569.888,-871.582,-1000.000,-1000.000,-865.723,0.000,0
1634634569.893,-293.457,-593.262,-765.137,779.785,0.000,0
1634634569.879,-939.453,795.898,105.469,-527.344,0.000,0
1634634569.883,944.336,-855.957,454.590,-1000.000,0.000,0
1634634569.888,984.863,301.758,1.953,-79.102,0.000,0
1634634569.892,-534.668,-1000.000,-838.379,-963.379,0.000,0
1634634569.897,-507.324,-854.980,-866.211,-993.164,0.000,0
1634634569.901,-976.562,500.977,-105.469,-177.246,0.000,0
1634634569.905,925.293,-811.523,407.227,-1000.000,0.000,0
1634634569.910,-900.879,430.176,135.742,-169.922,0.000,0
1634634569.914,-232.422,-921.387,-616.699,994.141,0.000,0
1634634569.918,-685.059,-1000.000,-1000.000,-932.129,0.000,0
1634634569.923,931.641,169.434,-237.305,19.043,0.000,0
1634634569.927,950.684,-814.453,405.273,-1000.000,0.000,0
1634634569.915,-896.484,613.281,58.105,-176.270,0.000,0
1634634569.919,-16.113,-740.723,-629.395,987.793,0.000,0
1634634569.924,-845.703,-1000.000,-1000.000,-918.457,0.000,0
1634634569.928,735.352,13.184,-281.738,229.004,0.000,0
1634634569.932,994.629,-911.133,405.762,-1000.000,0.000,0
1634634569.937,-920.898,893.555,165.527,-303.223,0.000,0
1634634569.941,184.082,-354.492,-421.875,969.238,0.000,0
1634634569.945,-1000.000,-1000.000,-1000.000,-914.551,0.000,0
1634634569.950,386.230,-153.809,-292.969,226.562,0.000,0
1634634569.954,-946.289,-991.699,411.133,-1000.000,0.000,0
1634634569.958,-949.219,-958.984,260.254,-483.887,0.000,0
1634634569.962,225.098,-96.680,-256.836,883.301,0.000,0
1634634569.952,-1000.000,-1000.000,-1000.000,-882.812,0.000,0
1634634569.956,104.004,-172.363,-445.312,203.125,0.000,0
1634634569.960,-940.430,991.699,332.520,-1000.000,0.000,0
1634634569.964,-950.195,-923.340,284.180,-710.449,0.000,0
1634634569.969,262.695,90.820,-234.375,661.133,0.000,0
