timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1639024060.861,-224.121,-651.367,-12.207,145.020,0.000,0
1639024060.867,-326.660,-88.379,-13.184,194.336,0.000,0
1639024060.872,-1000.000,-330.566,-18.555,79.590,0.000,0
1639024060.877,-984.375,-430.176,-20.020,-57.129,0.000,0
1639024060.882,-1000.000,-218.750,-3.418,-29.785,0.000,0
1639024060.887,-180.176,214.355,17.578,116.211,0.000,0
1639024060.892,-45.410,484.375,1.953,188.965,0.000,0
1639024060.902,-954.102,69.824,-6.836,115.234,0.000,0
1639024060.907,-1000.000,-375.977,-11.719,-7.812,0.000,0
1639024060.913,-923.340,-235.840,-58.594,12.207,0.000,0
1639024060.918,110.352,156.250,-59.570,160.645,0.000,0
1639024060.923,548.828,489.746,-20.508,228.027,0.000,0
1639024060.928,-604.980,75.684,-8.301,121.582,0.000,0
1639024060.933,-1000.000,-473.633,-5.859,-8.301,0.000,0
1639024060.938,-824.707,-248.535,-5.371,8.301,0.000,0
1639024060.943,304.688,329.590,4.395,153.320,0.000,0
1639024060.948,-978.516,638.184,3.418,256.836,0.000,0
1639024060.953,-136.719,478.027,-11.230,192.871,0.000,0
1639024060.958,-1000.000,-504.395,-4.883,62.988,0.000,0
1639024060.962,-836.426,-766.602,-7.812,32.227,0.000,0
1639024060.967,278.809,187.012,-16.602,139.160,0.000,0
1639024060.973,-925.293,643.066,-17.578,238.770,0.000,0
1639024060.978,-4.883,382.324,-19.531,194.824,0.000,0
1639024060.983,-1000.000,-101.562,-35.645,68.848,0.000,0
1639024060.988,-976.562,-288.086,-34.180,-1.465,0.000,0
1639024060.993,1.953,-101.074,4.395,98.145,0.000,0
1639024060.998,-918.457,254.395,19.531,220.215,0.000,0
1639024061.003,149.414,378.906,5.371,188.477,0.000,0
1639024061.008,-1000.000,166.504,-0.488,55.664,0.000,0
1639024061.013,-1000.000,-34.668,4.395,-0.977,0.000,0
1639024061.018,-27.344,239.746,-5.859,84.473,0.000,0
1639024061.017,-900.879,610.352,-28.809,191.895,0.000,0
1639024061.022,437.012,584.961,-27.832,180.664,0.000,0
1639024061.027,-808.105,184.570,-17.090,37.109,0.000,0
1639024061.032,-1000.000,-66.406,-17.090,-38.574,0.000,0
1639024061.037,-169.922,99.609,-30.273,56.152,0.000,0
1639024061.042,-954.102,307.129,-39.062,160.156,0.000,0
1639024061.047,541.504,-175.293,-34.668,166.504,0.000,0
1639024061.052,-701.172,-463.379,-33.203,49.805,0.000,0
1639024061.057,-1000.000,-122.559,-18.066,-64.453,0.000,0
1639024061.062,-157.715,91.309,0.000,14.160,0.000,0
1639024061.067,-959.473,488.281,-20.508,174.805,0.000,0
1639024061.072,700.684,557.129,-41.016,198.242,0.000,0
1639024061.067,-482.910,244.629,-37.598,55.664,0.000,0
1639024061.072,-1000.000,-62.012,-27.344,-78.613,0.000,0
1639024061.077,-356.445,7.324,-65.430,-56.641,0.000,0
1639024061.082,919.922,441.895,-78.613,79.102,0.000,0
1639024061.086,850.586,491.211,-38.574,104.492,0.000,0
1639024061.091,-310.547,-55.664,-18.555,0.977,0.000,0
